...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1638866,1630610,8256,2095756,2084510,11246,16224,16016,2018-12-01
NA,北海道,NA,48790,48724,66,63484,63395,89,445,397,2018-12-01
NA,青森,NA,13660,13639,21,16654,16628,26,134,106,2018-12-01
NA,岩手,NA,6712,6679,33,8487,8437,50,68,57,2018-12-01
NA,宮城,NA,8338,8288,50,10975,10901,74,116,88,2018-12-01
NA,秋田,NA,7082,7062,20,9046,9022,24,77,69,2018-12-01
NA,山形,NA,6436,6368,68,7877,7791,86,89,70,2018-12-01
NA,福島,NA,5437,5391,46,6618,6565,53,67,58,2018-12-01
NA,茨城,NA,22393,22256,137,28096,27925,171,280,218,2018-12-01
NA,栃木,NA,9855,9783,72,12153,12052,101,104,112,2018-12-01
NA,群馬,NA,6257,6222,35,7545,7491,54,70,68,2018-12-01
NA,埼玉,NA,43988,43822,166,57214,57001,213,468,416,2018-12-01
NA,千葉,NA,40368,40188,180,51804,51567,237,448,420,2018-12-01
NA,東京,NA,225062,224042,1020,278855,277335,1520,2019,2090,2018-12-01
NA,神奈川,NA,26921,26787,134,34933,34756,177,348,276,2018-12-01
NA,新潟,NA,7128,7081,47,8981,8910,71,93,102,2018-12-01
NA,富山,NA,1457,1411,46,1670,1614,56,21,15,2018-12-01
NA,石川,NA,2593,2566,27,3012,2983,29,20,24,2018-12-01
NA,福井,NA,3396,3333,63,4135,4053,82,44,34,2018-12-01
NA,山梨,NA,5727,5661,66,7042,6956,86,61,42,2018-12-01
NA,長野,NA,6331,6280,51,7719,7654,65,92,83,2018-12-01
NA,岐阜,NA,4394,4334,60,5356,5292,64,55,53,2018-12-01
NA,静岡,NA,12095,11993,102,14828,14688,140,141,126,2018-12-01
NA,愛知,NA,17729,17601,128,22780,22608,172,211,201,2018-12-01
NA,三重,NA,12590,12496,94,15938,15807,131,122,138,2018-12-01
NA,滋賀,NA,5138,5098,40,7132,7060,72,63,66,2018-12-01
NA,京都,NA,10207,10130,77,14295,14181,114,103,83,2018-12-01
NA,大阪,NA,50725,50545,180,67937,67690,247,523,521,2018-12-01
NA,兵庫,NA,13901,13791,110,18288,18124,164,137,152,2018-12-01
NA,奈良,NA,9488,9439,49,12698,12619,79,67,92,2018-12-01
NA,和歌山,NA,4910,4861,49,5973,5909,64,45,53,2018-12-01
NA,鳥取,NA,3323,3314,9,4089,4077,12,42,45,2018-12-01
NA,島根,NA,2411,2405,6,2988,2980,8,24,32,2018-12-01
NA,岡山,NA,3769,3740,29,4715,4675,40,44,60,2018-12-01
NA,広島,NA,5764,5712,52,7595,7525,70,53,84,2018-12-01
NA,山口,NA,8659,8609,50,10708,10649,59,59,79,2018-12-01
NA,徳島,NA,10576,10535,41,13452,13398,54,92,81,2018-12-01
NA,香川,NA,3375,3346,29,4305,4261,44,42,34,2018-12-01
NA,愛媛,NA,7616,7546,70,9324,9236,88,86,91,2018-12-01
NA,高知,NA,5842,5802,40,7213,7164,49,55,63,2018-12-01
NA,福岡,NA,37958,37792,166,52048,51799,249,274,286,2018-12-01
NA,佐賀,NA,6489,6448,41,7853,7807,46,73,69,2018-12-01
NA,長崎,NA,8067,8022,45,10480,10421,59,73,78,2018-12-01
NA,熊本,NA,7470,7428,42,9442,9390,52,102,93,2018-12-01
NA,大分,NA,9047,8960,87,11137,11033,104,74,88,2018-12-01
NA,宮崎,NA,7387,7349,38,9159,9108,51,89,78,2018-12-01
NA,鹿児島,NA,11940,11794,146,15375,15164,211,125,115,2018-12-01
NA,沖縄,NA,19127,19042,85,24667,24534,133,208,165,2018-12-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-01
NA,札幌市,NA,55179,55057,122,72547,72397,150,623,550,2018-12-01
NA,仙台市,NA,13710,13637,73,18083,17981,102,137,116,2018-12-01
NA,さいたま市,NA,15333,15258,75,19798,19706,92,153,137,2018-12-01
NA,千葉市,NA,16831,16648,183,20932,20651,281,228,225,2018-12-01
NA,横浜市,NA,53973,53866,107,69851,69694,157,620,575,2018-12-01
NA,川崎市,NA,23972,23919,53,30837,30749,88,273,300,2018-12-01
NA,相模原市,NA,10256,10235,21,13996,13966,30,111,99,2018-12-01
NA,新潟市,NA,9208,9165,43,11974,11923,51,99,73,2018-12-01
NA,静岡市,NA,7238,7174,64,9239,9157,82,83,57,2018-12-01
NA,浜松市,NA,5676,5591,85,7196,7087,109,76,70,2018-12-01
NA,名古屋市,NA,38309,38115,194,47772,47524,248,484,489,2018-12-01
NA,京都市,NA,32555,32174,381,43641,43130,511,207,316,2018-12-01
NA,大阪市,NA,114099,113445,654,138994,138192,802,1224,1355,2018-12-01
NA,堺市,NA,19239,19198,41,25432,25377,55,164,159,2018-12-01
NA,神戸市,NA,34391,34241,150,45777,45572,205,276,316,2018-12-01
NA,岡山市,NA,9981,9943,38,13240,13190,50,104,93,2018-12-01
NA,広島市,NA,18658,18599,59,24813,24745,68,198,193,2018-12-01
NA,北九州市,NA,18358,18281,77,23118,23037,81,152,157,2018-12-01
