...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
全国,全国,1636411,1629081,7330,2048675,2039063,9612,16905,15559,2020-11-01
都道府県,北海道,47346,47264,82,59941,59841,100,412,387,2020-11-01
都道府県,青森県,13559,13534,25,16329,16298,31,114,122,2020-11-01
都道府県,岩手県,6619,6593,26,8183,8146,37,82,69,2020-11-01
都道府県,宮城県,8604,8567,37,11097,11048,49,105,81,2020-11-01
都道府県,秋田県,6702,6677,25,8380,8349,31,55,76,2020-11-01
都道府県,山形県,4776,4741,35,5709,5670,39,47,51,2020-11-01
都道府県,福島県,5386,5357,29,6543,6505,38,59,52,2020-11-01
都道府県,茨城県,18820,18723,97,22988,22871,117,219,204,2020-11-01
都道府県,栃木県,9779,9724,55,11813,11743,70,103,100,2020-11-01
都道府県,群馬県,6226,6186,40,7319,7273,46,73,56,2020-11-01
都道府県,埼玉県,45018,44886,132,57110,56947,163,465,457,2020-11-01
都道府県,千葉県,41658,41479,179,52488,52247,241,524,370,2020-11-01
都道府県,東京都,223757,222888,869,272625,271407,1218,2075,1956,2020-11-01
都道府県,神奈川県,27821,27694,127,35361,35200,161,355,305,2020-11-01
都道府県,新潟県,7068,7010,58,8773,8697,76,91,65,2020-11-01
都道府県,富山県,1404,1371,33,1583,1542,41,16,20,2020-11-01
都道府県,石川県,2581,2546,35,2984,2943,41,25,39,2020-11-01
都道府県,福井県,1376,1357,19,1589,1569,20,14,14,2020-11-01
都道府県,山梨県,3394,3355,39,4154,4107,47,36,36,2020-11-01
都道府県,長野県,6388,6341,47,7718,7664,54,82,87,2020-11-01
都道府県,岐阜県,4479,4430,49,5448,5394,54,55,43,2020-11-01
都道府県,静岡県,12611,12505,106,15270,15124,146,152,148,2020-11-01
都道府県,愛知県,17922,17796,126,22526,22358,168,242,198,2020-11-01
都道府県,三重県,12617,12547,70,15664,15570,94,162,154,2020-11-01
都道府県,滋賀県,5195,5172,23,7001,6962,39,67,55,2020-11-01
都道府県,京都府,9985,9909,76,13642,13534,108,110,95,2020-11-01
都道府県,大阪府,40549,40426,123,52691,52524,167,393,398,2020-11-01
都道府県,兵庫県,13926,13855,71,17929,17837,92,150,150,2020-11-01
都道府県,奈良県,9002,8956,46,11667,11603,64,63,100,2020-11-01
都道府県,和歌山県,4807,4782,25,5765,5733,32,59,53,2020-11-01
都道府県,鳥取県,3174,3161,13,3847,3833,14,34,31,2020-11-01
都道府県,島根県,2364,2359,5,2886,2881,5,30,30,2020-11-01
都道府県,岡山県,3488,3468,20,4217,4193,24,33,50,2020-11-01
都道府県,広島県,5610,5577,33,7190,7145,45,64,50,2020-11-01
都道府県,山口県,8338,8293,45,10127,10074,53,91,91,2020-11-01
都道府県,徳島県,10393,10351,42,12899,12833,66,73,78,2020-11-01
都道府県,香川県,3215,3193,22,3996,3969,27,30,39,2020-11-01
都道府県,愛媛県,7491,7412,79,8998,8893,105,68,88,2020-11-01
都道府県,高知県,5650,5598,52,6895,6825,70,38,57,2020-11-01
都道府県,福岡県,37147,36998,149,49811,49580,231,317,299,2020-11-01
都道府県,佐賀県,6485,6450,35,7701,7659,42,63,58,2020-11-01
都道府県,長崎県,7732,7695,37,9805,9759,46,68,77,2020-11-01
都道府県,熊本県,7475,7438,37,9297,9253,44,89,87,2020-11-01
都道府県,大分県,8937,8860,77,10808,10709,99,69,80,2020-11-01
都道府県,宮崎県,7364,7341,23,8999,8963,36,79,78,2020-11-01
都道府県,鹿児島県,11663,11526,137,14806,14631,175,121,108,2020-11-01
都道府県,沖縄県,19930,19835,95,25115,24968,147,235,171,2020-11-01
指定都市（別掲）,札幌市,55774,55630,144,71459,71285,174,683,570,2020-11-01
指定都市（別掲）,仙台市,14195,14099,96,18319,18195,124,125,121,2020-11-01
指定都市（別掲）,さいたま市,15539,15488,51,19625,19554,71,184,166,2020-11-01
指定都市（別掲）,千葉市,17283,17136,147,21104,20914,190,253,249,2020-11-01
指定都市（別掲）,横浜市,54655,54569,86,68994,68888,106,662,636,2020-11-01
指定都市（別掲）,川崎市,23840,23811,29,29892,29852,40,314,294,2020-11-01
指定都市（別掲）,相模原市,10592,10561,31,13812,13766,46,142,81,2020-11-01
指定都市（別掲）,新潟市,9264,9226,38,11815,11768,47,93,107,2020-11-01
指定都市（別掲）,静岡市,7501,7433,68,9370,9294,76,77,65,2020-11-01
指定都市（別掲）,浜松市,5707,5652,55,7112,7046,66,75,71,2020-11-01
