local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1641917,1634001,7916,16637,16582,2021-10-01,2037970,2027584,10386
北海道,46723,46633,90,374,409,2021-10-01,58650,58536,114
青森県,13413,13383,30,89,136,2021-10-01,16081,16037,44
岩手県,6542,6514,28,67,64,2021-10-01,8005,7970,35
宮城県,8855,8800,55,106,106,2021-10-01,11321,11251,70
秋田県,6521,6509,12,48,74,2021-10-01,8067,8050,17
山形県,4851,4813,38,50,44,2021-10-01,5767,5717,50
福島県,5407,5373,34,68,78,2021-10-01,6515,6470,45
茨城県,19228,19134,94,219,200,2021-10-01,23359,23256,103
栃木県,9876,9820,56,116,87,2021-10-01,11807,11741,66
群馬県,6304,6280,24,82,52,2021-10-01,7357,7325,32
埼玉県,45646,45489,157,548,440,2021-10-01,57373,57166,207
千葉県,42742,42541,201,515,455,2021-10-01,53385,53107,278
東京都,224114,223171,943,2055,2087,2021-10-01,270882,269529,1353
神奈川県,28242,28123,119,331,309,2021-10-01,35652,35508,144
新潟県,7139,7095,44,67,63,2021-10-01,8860,8797,63
富山県,1408,1365,43,17,19,2021-10-01,1603,1551,52
石川県,2609,2587,22,28,45,2021-10-01,2984,2955,29
福井県,1397,1373,24,19,14,2021-10-01,1612,1585,27
山梨県,3472,3412,60,39,38,2021-10-01,4244,4177,67
長野県,4866,4826,40,65,65,2021-10-01,5864,5818,46
岐阜県,4606,4555,51,63,55,2021-10-01,5581,5521,60
静岡県,12993,12893,100,200,140,2021-10-01,15665,15523,142
愛知県,15304,15232,72,199,184,2021-10-01,19031,18940,91
三重県,12729,12628,101,131,140,2021-10-01,15777,15639,138
滋賀県,5244,5198,46,53,60,2021-10-01,6949,6880,69
京都府,9882,9822,60,108,101,2021-10-01,13238,13157,81
大阪府,40486,40391,95,420,394,2021-10-01,51954,51829,125
兵庫県,14070,13979,91,150,141,2021-10-01,17952,17821,131
奈良県,8838,8790,48,75,68,2021-10-01,11362,11286,76
和歌山県,4787,4769,18,46,46,2021-10-01,5694,5668,26
鳥取県,3161,3147,14,41,34,2021-10-01,3810,3792,18
島根県,2319,2310,9,13,17,2021-10-01,2793,2782,11
岡山県,3416,3393,23,39,54,2021-10-01,4100,4067,33
広島県,5704,5661,43,72,72,2021-10-01,7297,7241,56
山口県,8277,8236,41,60,85,2021-10-01,10006,9958,48
徳島県,10343,10300,43,85,97,2021-10-01,12725,12659,66
香川県,3230,3197,33,36,37,2021-10-01,3950,3912,38
愛媛県,7385,7297,88,66,72,2021-10-01,8760,8645,115
高知県,5587,5545,42,53,63,2021-10-01,6767,6709,58
福岡県,36931,36782,149,267,319,2021-10-01,49043,48811,232
佐賀県,6376,6310,66,61,83,2021-10-01,7503,7427,76
長崎県,7656,7605,51,74,79,2021-10-01,9652,9592,60
熊本県,7454,7399,55,96,101,2021-10-01,9187,9108,79
大分県,8794,8691,103,72,103,2021-10-01,10568,10447,121
宮崎県,7298,7274,24,76,82,2021-10-01,8818,8782,36
鹿児島県,11579,11425,154,127,148,2021-10-01,14595,14390,205
沖縄県,20480,20399,81,260,172,2021-10-01,25554,25426,128
札幌市,56034,55864,170,627,600,2021-10-01,71097,70903,194
仙台市,14533,14446,87,184,149,2021-10-01,18604,18481,123
さいたま市,15539,15484,55,155,183,2021-10-01,19438,19376,62
千葉市,17710,17534,176,239,263,2021-10-01,21569,21344,225
横浜市,55099,55015,84,704,653,2021-10-01,68959,68832,127
川崎市,23633,23591,42,229,270,2021-10-01,29350,29290,60
相模原市,10841,10801,40,138,112,2021-10-01,13978,13928,50
新潟市,9295,9267,28,89,103,2021-10-01,11718,11681,37
静岡市,7585,7507,78,83,81,2021-10-01,9431,9326,105
浜松市,5795,5735,60,66,71,2021-10-01,7174,7099,75
名古屋市,38606,38326,280,502,561,2021-10-01,47055,46712,343
京都市,32058,31680,378,312,305,2021-10-01,41479,40991,488
大阪市,111953,111409,544,1251,1265,2021-10-01,132939,132270,669
堺市,19325,19300,25,187,213,2021-10-01,24664,24628,36
神戸市,33638,33463,175,253,285,2021-10-01,43388,43180,208
岡山市,9872,9827,45,100,114,2021-10-01,12682,12623,59
広島市,18424,18350,74,187,171,2021-10-01,23537,23449,88
北九州市,18161,18095,66,137,146,2021-10-01,22312,22238,74
福岡市,33900,33774,126,419,328,2021-10-01,42514,42361,153
熊本市,12027,11998,29,152,140,2021-10-01,14923,14885,38
旭川市,9803,9767,36,77,90,2021-10-01,11970,11925,45
函館市,9340,9334,6,75,86,2021-10-01,11352,11345,7
青森市,6704,6703,1,41,44,2021-10-01,8167,8165,2
八戸市,3368,3354,14,20,25,2021-10-01,4096,4081,15
盛岡市,3853,3826,27,39,49,2021-10-01,4563,4521,42
秋田市,4312,4304,8,43,40,2021-10-01,5314,5305,9
山形市,1787,1770,17,17,25,2021-10-01,2141,2123,18
郡山市,2788,2785,3,29,27,2021-10-01,3359,3356,3
いわき市,3375,3373,2,37,42,2021-10-01,4259,4257,2
福島市,2613,2611,2,39,36,2021-10-01,3152,3150,2
水戸市,4101,4060,41,46,41,2021-10-01,5170,5109,61
宇都宮市,6713,6666,47,64,50,2021-10-01,8275,8214,61
前橋市,3450,3409,41,32,32,2021-10-01,4146,4096,50
高崎市,2933,2921,12,43,28,2021-10-01,3452,3439,13
川越市,3476,3472,4,28,40,2021-10-01,4362,4358,4
越谷市,3449,3421,28,30,42,2021-10-01,4405,4361,44
川口市,9230,9207,23,82,79,2021-10-01,11633,11602,31
船橋市,7400,7360,40,92,71,2021-10-01,9243,9180,63
柏市,3927,3912,15,46,30,2021-10-01,4923,4905,18
八王子市,7704,7694,10,77,54,2021-10-01,9602,9592,10
横須賀市,4254,4226,28,52,40,2021-10-01,5409,5372,37
富山市,2088,2085,3,28,15,2021-10-01,2438,2435,3
金沢市,3535,3521,14,24,17,2021-10-01,4037,4022,15
福井市,2102,2079,23,33,19,2021-10-01,2581,2553,28
甲府市,2362,2356,6,24,19,2021-10-01,2805,2799,6
長野市,2658,2625,33,18,22,2021-10-01,3250,3208,42
松本市,1570,1553,17,18,20,2021-10-01,1850,1827,23
岐阜市,5071,5043,28,32,36,2021-10-01,6007,5973,34
豊橋市,1835,1824,11,29,16,2021-10-01,2220,2209,11
豊田市,1798,1778,20,15,23,2021-10-01,2358,2330,28
岡崎市,1768,1747,21,17,20,2021-10-01,2214,2187,27
一宮市,2789,2761,28,26,31,2021-10-01,3467,3430,37
大津市,3114,3086,28,31,25,2021-10-01,3948,3914,34
高槻市,4314,4304,10,38,30,2021-10-01,5760,5747,13
東大阪市,13660,13623,37,110,108,2021-10-01,17197,17146,51
豊中市,7546,7509,37,61,62,2021-10-01,9566,9507,59
枚方市,5823,5794,29,51,43,2021-10-01,7574,7533,41
八尾市,6060,6053,7,59,51,2021-10-01,7824,7817,7
寝屋川市,5674,5646,28,56,46,2021-10-01,7283,7246,37
吹田市,4328,4323,5,26,30,2021-10-01,5566,5558,8
姫路市,6649,6632,17,47,53,2021-10-01,8182,8158,24
西宮市,5980,5924,56,44,32,2021-10-01,7761,7673,88
尼崎市,13583,13566,17,107,116,2021-10-01,17218,17199,19
明石市,3902,3888,14,36,41,2021-10-01,5058,5043,15
奈良市,5461,5404,57,36,41,2021-10-01,7109,7030,79
和歌山市,7428,7409,19,66,76,2021-10-01,8852,8825,27
鳥取市,2144,2118,26,13,26,2021-10-01,2780,2748,32
松江市,2083,2066,17,19,21,2021-10-01,2657,2633,24
倉敷市,5310,5300,10,44,66,2021-10-01,6978,6967,11
福山市,4768,4756,12,27,51,2021-10-01,6046,6034,12
呉市,2685,2662,23,10,20,2021-10-01,3327,3295,32
下関市,3101,3078,23,23,31,2021-10-01,3761,3736,25
高松市,5054,4999,55,46,42,2021-10-01,6254,6184,70
松山市,9436,9422,14,70,66,2021-10-01,11253,11235,18
高知市,8683,8635,48,62,68,2021-10-01,10826,10761,65
久留米市,5295,5281,14,35,57,2021-10-01,6617,6593,24
長崎市,9298,9237,61,58,46,2021-10-01,11954,11885,69
佐世保市,3966,3955,11,32,38,2021-10-01,4956,4943,13
大分市,7005,6939,66,57,76,2021-10-01,8343,8267,76
宮崎市,6796,6775,21,54,78,2021-10-01,8390,8368,22
鹿児島市,11792,11638,154,81,95,2021-10-01,14898,14691,207
那覇市,10511,10497,14,105,93,2021-10-01,13282,13264,18
