"id","population_total","population_male","population_female","year","unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","date","prefec_kanji","prefec"
1,5286,2489,2506,2019,341.2977676882331,268.903173965448,452.83320031923387,435461.8342792282,395850.96384089993,525370.3938547486,"2019-01-01","北海道","Hokkaido"
1,5286,2489,2506,2019,330.0227014755959,264.4837284049819,433.439744612929,350029.47446083993,326659.7416633186,413886.5542697526,"2019-02-01","北海道","Hokkaido"
1,5286,2489,2506,2019,330.4767309875142,266.49256729610283,432.4022346368715,370517.48675747256,345420.5275210928,438469.17079010373,"2019-03-01","北海道","Hokkaido"
1,5286,2489,2506,2019,336.5493757094211,272.7601446364002,438.98643256185153,374750.82198259555,352407.59100040176,440459.03870710294,"2019-04-01","北海道","Hokkaido"
1,5286,2489,2506,2019,367.32879303821414,281.2776215347529,495.4509177972865,418315.36984487326,375155.3929288871,509757.88986432564,"2019-05-01","北海道","Hokkaido"
1,5286,2489,2506,2019,361.74801362088533,263.5194857372439,501.31683958499605,393378.22304199776,335167.6934511852,496873.46288906626,"2019-06-01","北海道","Hokkaido"
1,5286,2489,2506,2019,387.4574347332576,278.66613097629573,540.5027932960894,465072.19258418464,388886.08597830456,594746.2657621708,"2019-07-01","北海道","Hokkaido"
1,5286,2489,2506,2019,380.11729095724553,270.2691844114102,533.3599361532323,441830.4644343549,368576.5094415428,565893.4169992019,"2019-08-01","北海道","Hokkaido"
1,5286,2489,2506,2019,368.86114264093834,268.3808758537565,511.4924181963288,418452.9738933031,353673.7055042186,531384.1049481245,"2019-09-01","北海道","Hokkaido"
1,5286,2489,2506,2019,358.36171017782823,262.99718762555244,494.69273743016765,446630.5741581536,379306.60546404176,565361.1628092577,"2019-10-01","北海道","Hokkaido"
1,5286,2489,2506,2019,333.01172909572455,245.60064282844513,458.4996009577015,372895.128830874,322095.4367215749,466651.2805267358,"2019-11-01","北海道","Hokkaido"
1,5286,2489,2506,2019,328.414680287552,243.71233427079147,450.6783719074222,339774.03026863415,295337.75371635193,423363.8687150838,"2019-12-01","北海道","Hokkaido"
1,5250,2472,2778,2020,334.1714285714286,257.7669902912621,402.15982721382295,434804.3561904762,391116.2637540453,473680.1533477322,"2020-01-01","北海道","Hokkaido"
1,5250,2472,2778,2020,319.6952380952381,256.6343042071197,375.8099352051836,350915.2354285714,330815.8458737864,368800.6533477322,"2020-02-01","北海道","Hokkaido"
1,5250,2472,2778,2020,329.4095238095238,277.3867313915857,375.70194384449246,396147.4622857143,383661.034789644,407258.4949604032,"2020-03-01","北海道","Hokkaido"
1,5250,2472,2778,2020,320.6857142857143,278.7621359223301,357.99136069114473,377228.30933333334,378798.2099514563,375831.33513318934,"2020-04-01","北海道","Hokkaido"
1,5250,2472,2778,2020,374.20952380952383,316.50485436893206,425.5579553635709,419868.9268571429,414329.1112459547,424798.5251979842,"2020-05-01","北海道","Hokkaido"
1,5250,2472,2778,2020,419.20000000000005,349.47411003236243,481.24550035997123,504076.66114285716,485914.57038834953,520238.1760259179,"2020-06-01","北海道","Hokkaido"
1,5250,2472,2778,2020,449.2761904761905,364.5631067961165,524.6580273578114,565216.2411428571,533336.746763754,593584.1713462922,"2020-07-01","北海道","Hokkaido"
1,5250,2472,2778,2020,463.8857142857143,371.76375404530745,545.8603311735061,547401.567047619,511258.2892394822,579563.6198704104,"2020-08-01","北海道","Hokkaido"
1,5250,2472,2778,2020,454.7809523809524,365.453074433657,534.2692584593233,583372.9348571429,538160.7200647249,623604.9704823614,"2020-09-01","北海道","Hokkaido"
1,5250,2472,2778,2020,436.3428571428571,346.3592233009709,516.414686825054,528848.5249523809,483452.4401294498,569244.1771058316,"2020-10-01","北海道","Hokkaido"
1,5250,2472,2778,2020,413.06666666666666,330.62297734627833,486.4290856731461,479929.9708571429,445542.56998381874,510529.558675306,"2020-11-01","北海道","Hokkaido"
1,5250,2472,2778,2020,388.20952380952383,314.15857605177996,454.1036717062635,441106.5041904762,408494.9676375405,470125.8412526998,"2020-12-01","北海道","Hokkaido"
2,1263,593,600,2019,365.9540775930325,311.29848229342326,462.6666666666667,444589.3958828187,445149.1568296796,495904.92833333334,"2019-01-01","青森","Aomori"
2,1263,593,600,2019,348.85193982581154,301.6863406408095,436.16666666666663,355315.08551068883,363037.915682968,389135.7816666667,"2019-02-01","青森","Aomori"
2,1263,593,600,2019,350.4354711005542,306.57672849915684,434.6666666666667,363407.8487727633,375861.8482293423,393496.72833333333,"2019-03-01","青森","Aomori"
