都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,408782,179894,228888,50574335963,24911794269,25662541694,2021-12-01
北　海　道,19071,7346,11725,2127266551,917792076,1209474475,2021-12-01
青　　　森,5054,2110,2944,565497444,269901241,295596203,2021-12-01
岩　　　手,3875,1658,2217,432800587,210835086,221965501,2021-12-01
宮　　　城,7856,3332,4524,923570207,444996461,478573746,2021-12-01
秋　　　田,3064,1293,1771,332278959,162348820,169930139,2021-12-01
山　　　形,3012,1345,1667,344382571,170352146,174030425,2021-12-01
福　　　島,6185,2816,3369,763352166,386349549,377002617,2021-12-01
茨　　　城,8174,3903,4271,1065964480,574428263,491536217,2021-12-01
栃　　　木,6157,3026,3131,780166218,429499978,350666240,2021-12-01
群　　　馬,5554,2600,2954,668191066,349024840,319166226,2021-12-01
埼　　　玉,22071,10815,11256,2876498633,1559303634,1317194999,2021-12-01
千　　　葉,18646,8950,9696,2538317327,1345589575,1192727752,2021-12-01
東　　　京,42553,19332,23221,5565206949,2718050451,2847156498,2021-12-01
神　奈　川,27049,12930,14119,3801646569,1989104867,1812541702,2021-12-01
新　　　潟,6642,2873,3769,761574955,366050603,395524352,2021-12-01
富　　　山,2859,1245,1614,337479502,162399738,175079764,2021-12-01
石　　　川,3603,1478,2125,413264976,188668118,224596858,2021-12-01
福　　　井,2195,919,1276,254607407,119800205,134807202,2021-12-01
山　　　梨,2298,1039,1259,297170740,150630647,146540093,2021-12-01
長　　　野,6582,2845,3737,784658595,381204676,403453919,2021-12-01
岐　　　阜,5811,2617,3194,687515037,349011836,338503201,2021-12-01
静　　　岡,11199,5141,6058,1312113617,669694431,642419186,2021-12-01
愛　　　知,21790,9749,12041,2752885347,1384645038,1368240309,2021-12-01
三　　　重,5961,2702,3259,724908492,376856243,348052249,2021-12-01
滋　　　賀,4850,2118,2732,589018592,293549776,295468816,2021-12-01
京　　　都,8547,3563,4984,1053005223,490681890,562323333,2021-12-01
大　　　阪,31372,13525,17847,4038363702,1914854908,2123508794,2021-12-01
兵　　　庫,18884,7969,10915,2385535173,1146671774,1238863399,2021-12-01
奈　　　良,3999,1784,2215,492172743,250256422,241916321,2021-12-01
和　歌　山,2973,1327,1646,331198567,166758764,164439803,2021-12-01
鳥　　　取,1873,797,1076,219431500,104980843,114450657,2021-12-01
島　　　根,2080,885,1195,232503094,106964799,125538295,2021-12-01
岡　　　山,6443,2827,3616,756584923,369320343,387264580,2021-12-01
広　　　島,9476,3881,5595,1116229602,525050547,591179055,2021-12-01
山　　　口,4088,1637,2451,488003981,228468357,259535624,2021-12-01
徳　　　島,2266,1094,1172,265730708,140979902,124750806,2021-12-01
香　　　川,3131,1340,1791,360091794,175500102,184591692,2021-12-01
愛　　　媛,4468,1818,2650,512128983,239311045,272817938,2021-12-01
高　　　知,2516,1059,1457,287660149,133940100,153720049,2021-12-01
福　　　岡,20169,8130,12039,2461758980,1140213328,1321545652,2021-12-01
佐　　　賀,2878,1127,1751,311084118,136448777,174635341,2021-12-01
長　　　崎,4858,1987,2871,517759676,241638732,276120944,2021-12-01
熊　　　本,6395,2709,3686,757029643,361301369,395728274,2021-12-01
大　　　分,4625,1861,2764,518508463,242188176,276320287,2021-12-01
宮　　　崎,4189,1735,2454,467462995,221574812,245888183,2021-12-01
鹿　児　島,6058,2357,3701,658278803,295086523,363192280,2021-12-01
沖　　　縄,5383,2300,3083,643476156,309514458,333961698,2021-12-01
