prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33140,2456,7760,8224,10128,2022-03-01
愛媛,10144,460,2029,2205,1824,2022-03-01
茨城,13607,619,2445,3045,3650,2022-03-01
岡山,9806,864,2546,1861,3399,2022-03-01
沖縄,17718,1187,5171,3753,3382,2022-03-01
岩手,5838,326,1653,1046,1572,2022-03-01
岐阜,6010,249,1156,1226,926,2022-03-01
宮崎,8495,475,1520,1724,1766,2022-03-01
宮城,11867,1168,3580,2307,4395,2022-03-01
京都,21526,2639,5388,4115,7635,2022-03-01
熊本,11285,696,3008,1310,3096,2022-03-01
群馬,7768,294,1676,1549,1328,2022-03-01
広島,16167,1628,5837,3292,4385,2022-03-01
香川,4477,360,861,1008,1511,2022-03-01
高知,8593,423,1611,1232,2216,2022-03-01
佐賀,3854,149,763,896,628,2022-03-01
埼玉,42047,3129,10147,9075,13062,2022-03-01
三重,7333,521,1725,1543,1540,2022-03-01
山形,3757,160,788,932,987,2022-03-01
山口,6932,318,1251,1281,1486,2022-03-01
山梨,3544,141,680,515,899,2022-03-01
滋賀,4128,461,1255,1362,1126,2022-03-01
鹿児島,13036,992,2940,2191,3838,2022-03-01
秋田,6662,248,1161,1024,1688,2022-03-01
新潟,8444,641,2248,1631,3517,2022-03-01
神奈川,64461,5585,17618,12819,21632,2022-03-01
青森,15033,469,2818,2104,2933,2022-03-01
静岡,14567,1030,3210,2899,4565,2022-03-01
石川,3763,117,1022,544,708,2022-03-01
千葉,38149,2868,9270,8321,13196,2022-03-01
全国,913456,68110,212078,191823,249896,2022-03-01
大阪,127023,9940,32359,21723,26928,2022-03-01
大分,9843,376,1906,1337,2124,2022-03-01
長崎,11710,849,2075,2763,3365,2022-03-01
長野,4841,261,1664,1013,1270,2022-03-01
鳥取,2781,199,701,715,869,2022-03-01
島根,2386,174,692,366,762,2022-03-01
東京,126294,8058,26656,31638,38314,2022-03-01
徳島,6180,344,944,1746,1039,2022-03-01
栃木,9222,474,2266,2109,2443,2022-03-01
奈良,8109,727,1840,1764,1686,2022-03-01
富山,2053,69,444,430,536,2022-03-01
福井,2106,89,343,417,552,2022-03-01
福岡,53799,4447,9756,10634,15144,2022-03-01
福島,7996,412,1864,1693,2252,2022-03-01
兵庫,42098,4009,9514,10410,11421,2022-03-01
北海道,66956,6679,14840,16574,16803,2022-03-01
和歌山,7908,330,1077,1457,1370,2022-03-01
