prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,year
愛知,385259,34809,83492,102182,122990,2018
愛媛,119057,7372,22603,34823,24121,2018
茨城,148610,9343,27820,39746,39775,2018
岡山,115512,14138,30606,26476,40968,2018
沖縄,185090,15625,61985,43463,38583,2018
岩手,66966,4846,18919,14991,19427,2018
岐阜,69910,3397,12727,16761,11860,2018
宮崎,96183,6930,19266,21666,26332,2018
宮城,128984,15700,36441,31124,49307,2018
京都,259869,42783,60380,59428,86028,2018
熊本,126131,9636,40732,21715,33378,2018
群馬,87914,4415,18067,19309,18602,2018
広島,190957,24906,67093,45276,56521,2018
香川,51019,4832,10163,15165,17132,2018
高知,103987,7195,18920,19985,28582,2018
佐賀,44662,2254,9631,12560,7931,2018
埼玉,466072,48191,103680,118758,154460,2018
三重,85494,6876,20768,20154,16702,2018
山形,40397,2378,9489,12153,11671,2018
山口,85822,5134,15344,18458,19287,2018
山梨,39949,1949,7995,7454,10171,2018
滋賀,46727,7293,13298,16715,13778,2018
鹿児島,148779,13656,36922,33669,47399,2018
秋田,79935,4369,14241,16052,22001,2018
新潟,95951,8649,26848,20522,42486,2018
神奈川,741219,87413,183148,160974,250769,2018
青森,173580,7928,35445,32754,37994,2018
静岡,162822,13461,33859,36531,49443,2018
石川,44086,1774,11723,8506,7553,2018
千葉,424450,39646,98100,108544,133298,2018
全国,10584261,1038951,2389137,2558246,2979177,2018
大阪,1502547,160362,358659,288711,341014,2018
大分,114615,5805,22563,20023,27028,2018
長崎,136740,13443,27286,39545,41687,2018
長野,56270,3476,18346,14178,14313,2018
鳥取,33170,2885,8751,9462,11819,2018
島根,27973,2745,8105,5854,9513,2018
東京,1490086,123347,293001,419613,451512,2018
徳島,72651,4973,11150,25593,11998,2018
栃木,105348,7999,24722,29568,29381,2018
奈良,97474,12451,20388,25769,21872,2018
富山,22274,666,4723,4661,4972,2018
福井,23807,1083,3999,4957,6028,2018
福岡,625350,64395,114575,143116,191285,2018
福島,89133,5634,22300,21973,25760,2018
兵庫,496819,60476,107171,140163,136790,2018
北海道,779456,106899,181398,208161,198539,2018
和歌山,95155,5414,12295,20985,17117,2018
