統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1635049,1627492,7557,2078707,2068373,10334,15724,16902,2019-05-01
NA,北海道,NA,48563,48484,79,62610,62511,99,374,494,2019-05-01
NA,青森,NA,13660,13638,22,16596,16572,24,120,123,2019-05-01
NA,岩手,NA,6759,6726,33,8461,8420,41,73,83,2019-05-01
NA,宮城,NA,8397,8364,33,10979,10931,48,97,94,2019-05-01
NA,秋田,NA,7028,7008,20,8930,8907,23,61,60,2019-05-01
NA,山形,NA,4744,4706,38,5761,5709,52,52,54,2019-05-01
NA,福島,NA,5493,5452,41,6684,6628,56,61,82,2019-05-01
NA,茨城,NA,22513,22402,111,28145,28010,135,234,244,2019-05-01
NA,栃木,NA,9782,9738,44,11985,11917,68,81,111,2019-05-01
NA,群馬,NA,6219,6194,25,7416,7383,33,69,59,2019-05-01
NA,埼玉,NA,44140,43994,146,57047,56853,194,455,466,2019-05-01
NA,千葉,NA,40517,40317,200,51778,51494,284,432,363,2019-05-01
NA,東京,NA,224532,223568,964,276970,275578,1392,2133,2232,2019-05-01
NA,神奈川,NA,27006,26893,113,34910,34753,157,322,329,2019-05-01
NA,新潟,NA,7122,7087,35,8942,8883,59,82,88,2019-05-01
NA,富山,NA,1463,1424,39,1667,1617,50,13,19,2019-05-01
NA,石川,NA,2579,2548,31,2991,2950,41,23,19,2019-05-01
NA,福井,NA,1385,1365,20,1618,1595,23,13,12,2019-05-01
NA,山梨,NA,3361,3323,38,4146,4102,44,40,42,2019-05-01
NA,長野,NA,6347,6315,32,7743,7701,42,76,77,2019-05-01
NA,岐阜,NA,4377,4322,55,5333,5268,65,39,61,2019-05-01
NA,静岡,NA,12139,12036,103,14841,14698,143,144,142,2019-05-01
NA,愛知,NA,17629,17488,141,22409,22216,193,175,202,2019-05-01
NA,三重,NA,12524,12447,77,15723,15624,99,132,129,2019-05-01
NA,滋賀,NA,5150,5112,38,7066,7011,55,64,75,2019-05-01
NA,京都,NA,10192,10125,67,14172,14062,110,100,114,2019-05-01
NA,大阪,NA,45064,44915,149,60005,59815,190,411,483,2019-05-01
NA,兵庫,NA,13843,13743,100,18087,17947,140,127,143,2019-05-01
NA,奈良,NA,9370,9318,52,12477,12395,82,53,101,2019-05-01
NA,和歌山,NA,4867,4829,38,5868,5822,46,49,38,2019-05-01
NA,鳥取,NA,3298,3293,5,4058,4052,6,40,42,2019-05-01
NA,島根,NA,2433,2430,3,3003,2998,5,46,27,2019-05-01
NA,岡山,NA,3696,3677,19,4561,4542,19,25,47,2019-05-01
NA,広島,NA,5695,5653,42,7426,7368,58,51,65,2019-05-01
NA,山口,NA,8597,8555,42,10617,10562,55,72,86,2019-05-01
NA,徳島,NA,10457,10416,41,13180,13129,51,69,80,2019-05-01
NA,香川,NA,3309,3287,22,4187,4154,33,18,31,2019-05-01
NA,愛媛,NA,7570,7489,81,9239,9135,104,60,77,2019-05-01
NA,高知,NA,5817,5770,47,7153,7086,67,51,68,2019-05-01
NA,福岡,NA,37662,37538,124,51226,51014,212,247,298,2019-05-01
NA,佐賀,NA,6487,6438,49,7820,7763,57,62,65,2019-05-01
NA,長崎,NA,7989,7951,38,10282,10236,46,58,69,2019-05-01
NA,熊本,NA,7468,7420,48,9436,9373,63,85,84,2019-05-01
NA,大分,NA,9027,8940,87,11118,11010,108,67,91,2019-05-01
NA,宮崎,NA,7375,7361,14,9124,9101,23,71,64,2019-05-01
NA,鹿児島,NA,11815,11705,110,15111,14964,147,122,108,2019-05-01
NA,沖縄,NA,19255,19146,109,24717,24523,194,172,181,2019-05-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-01
NA,札幌市,NA,55157,55012,145,71899,71717,182,552,574,2019-05-01
NA,仙台市,NA,13845,13775,70,18176,18076,100,177,145,2019-05-01
NA,さいたま市,NA,15315,15269,46,19684,19620,64,158,131,2019-05-01
NA,千葉市,NA,16846,16658,188,20825,20560,265,239,271,2019-05-01
NA,横浜市,NA,53917,53805,112,69310,69146,164,615,686,2019-05-01
NA,川崎市,NA,23834,23782,52,30514,30443,71,298,336,2019-05-01
NA,相模原市,NA,10288,10261,27,13921,13876,45,115,107,2019-05-01
NA,新潟市,NA,9279,9247,32,12021,11977,44,94,96,2019-05-01
NA,静岡市,NA,7244,7191,53,9165,9100,65,65,66,2019-05-01
NA,浜松市,NA,5666,5591,75,7171,7068,103,68,71,2019-05-01
NA,名古屋市,NA,38255,38066,189,47531,47294,237,532,533,2019-05-01
NA,京都市,NA,32426,32080,346,43096,42605,491,313,334,2019-05-01
NA,大阪市,NA,113293,112647,646,137190,136400,790,1158,1303,2019-05-01
NA,堺市,NA,19287,19259,28,25396,25354,42,222,217,2019-05-01
NA,神戸市,NA,34221,34063,158,45341,45118,223,291,334,2019-05-01
NA,岡山市,NA,9944,9915,29,13120,13082,38,99,100,2019-05-01
NA,広島市,NA,18609,18542,67,24459,24371,88,184,182,2019-05-01
NA,北九州市,NA,18315,18245,70,22902,22822,80,135,153,2019-05-01
NA,福岡市,NA,33506,33371,135,42904,42735,169,344,366,2019-05-01
NA,熊本市,NA,11893,11849,44,15164,15097,67,110,169,2019-05-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-01
NA,旭川市,NA,9960,9939,21,12532,12507,25,80,93,2019-05-01
NA,函館市,NA,9391,9378,13,11779,11765,14,86,104,2019-05-01
NA,青森市,NA,6743,6737,6,8403,8397,6,35,40,2019-05-01
NA,八戸市,NA,3570,3563,7,4404,4397,7,23,43,2019-05-01
NA,盛岡市,NA,3841,3835,6,4753,4740,13,35,43,2019-05-01
NA,秋田市,NA,4337,4334,3,5396,5393,3,38,39,2019-05-01
NA,山形市,NA,1728,1703,25,2117,2085,32,15,17,2019-05-01
NA,郡山市,NA,2683,2681,2,3301,3299,2,21,27,2019-05-01
NA,いわき市,NA,3336,3327,9,4301,4292,9,42,27,2019-05-01
NA,福島市,NA,2457,2454,3,3029,3026,3,27,17,2019-05-01
NA,宇都宮市,NA,6650,6612,38,8351,8300,51,41,59,2019-05-01
NA,前橋市,NA,3330,3292,38,4025,3978,47,25,31,2019-05-01
NA,高崎市,NA,2939,2928,11,3534,3522,12,30,34,2019-05-01
NA,川越市,NA,3365,3362,3,4369,4366,3,20,29,2019-05-01
NA,越谷市,NA,3182,3165,17,4225,4202,23,29,27,2019-05-01
NA,川口市,NA,8968,8942,26,11569,11539,30,88,101,2019-05-01
NA,船橋市,NA,7107,7063,44,9074,9011,63,89,75,2019-05-01
NA,柏市,NA,3615,3612,3,4635,4632,3,40,29,2019-05-01
NA,八王子市,NA,7394,7384,10,9406,9393,13,62,73,2019-05-01
NA,横須賀市,NA,4029,4015,14,5157,5137,20,37,24,2019-05-01
NA,富山市,NA,1772,1770,2,2040,2038,2,22,23,2019-05-01
NA,金沢市,NA,3573,3553,20,4177,4153,24,27,23,2019-05-01
NA,福井市,NA,2015,1990,25,2511,2484,27,23,15,2019-05-01
NA,甲府市,NA,2360,2345,15,2894,2872,22,23,20,2019-05-01
NA,長野市,NA,2655,2638,17,3356,3331,25,28,35,2019-05-01
NA,岐阜市,NA,5249,5191,58,6387,6306,81,53,40,2019-05-01
NA,豊橋市,NA,1694,1682,12,2014,2001,13,9,15,2019-05-01
NA,豊田市,NA,1741,1735,6,2348,2341,7,21,27,2019-05-01
NA,岡崎市,NA,1578,1570,8,2010,1997,13,17,21,2019-05-01
NA,大津市,NA,3052,3033,19,4007,3980,27,26,23,2019-05-01
NA,高槻市,NA,4253,4243,10,5934,5916,18,22,29,2019-05-01
NA,東大阪市,NA,14212,14165,47,18648,18569,79,108,163,2019-05-01
NA,豊中市,NA,7581,7553,28,9929,9886,43,69,42,2019-05-01
NA,枚方市,NA,5781,5755,26,7780,7741,39,48,39,2019-05-01
NA,八尾市,NA,5797,5796,1,7729,7727,2,48,46,2019-05-01
NA,寝屋川市,NA,5425,5386,39,7253,7206,47,50,34,2019-05-01
NA,姫路市,NA,6747,6729,18,8520,8497,23,53,55,2019-05-01
NA,西宮市,NA,5929,5853,76,7946,7810,136,46,48,2019-05-01
NA,尼崎市,NA,13807,13788,19,17862,17837,25,116,125,2019-05-01
NA,明石市,NA,3953,3934,19,5251,5218,33,44,37,2019-05-01
NA,奈良市,NA,5408,5361,47,7322,7252,70,33,38,2019-05-01
NA,和歌山市,NA,7604,7587,17,9206,9181,25,65,85,2019-05-01
NA,鳥取市,NA,2222,2197,25,3007,2970,37,15,18,2019-05-01
NA,松江市,NA,2091,2083,8,2744,2726,18,24,32,2019-05-01
NA,倉敷市,NA,5243,5234,9,7124,7112,12,49,43,2019-05-01
NA,福山市,NA,4824,4812,12,6227,6210,17,49,46,2019-05-01
NA,呉市,NA,2792,2754,38,3531,3485,46,16,21,2019-05-01
NA,下関市,NA,3320,3308,12,4100,4086,14,21,58,2019-05-01
NA,高松市,NA,4879,4839,40,6160,6111,49,49,44,2019-05-01
NA,松山市,NA,9755,9742,13,11858,11839,19,56,81,2019-05-01
NA,高知市,NA,9058,9013,45,11596,11539,57,58,72,2019-05-01
NA,久留米市,NA,5102,5088,14,6550,6532,18,36,38,2019-05-01
NA,長崎市,NA,9456,9396,60,12452,12381,71,50,56,2019-05-01
NA,佐世保市,NA,4102,4094,8,5240,5231,9,30,44,2019-05-01
NA,大分市,NA,6966,6919,47,8529,8467,62,55,36,2019-05-01
NA,宮崎市,NA,6873,6860,13,8687,8674,13,52,62,2019-05-01
NA,鹿児島市,NA,11684,11591,93,15125,14973,152,73,75,2019-05-01
NA,那覇市,NA,10016,10001,15,12886,12870,16,87,65,2019-05-01
