統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1635515,1627444,8071,2089641,2078550,11091,15533,16768,2019-02-01
NA,北海道,NA,48644,48585,59,63252,63166,86,343,405,2019-02-01
NA,青森,NA,13658,13636,22,16638,16613,25,101,102,2019-02-01
NA,岩手,NA,6721,6687,34,8465,8410,55,71,62,2019-02-01
NA,宮城,NA,8340,8298,42,10962,10901,61,85,87,2019-02-01
NA,秋田,NA,7079,7059,20,9026,8997,29,64,71,2019-02-01
NA,山形,NA,6456,6383,73,7915,7818,97,84,64,2019-02-01
NA,福島,NA,5460,5416,44,6660,6610,50,75,54,2019-02-01
NA,茨城,NA,22401,22281,120,28099,27941,158,253,247,2019-02-01
NA,栃木,NA,9812,9749,63,12102,12012,90,92,106,2019-02-01
NA,群馬,NA,6232,6191,41,7478,7428,50,68,71,2019-02-01
NA,埼玉,NA,44023,43857,166,57150,56932,218,511,457,2019-02-01
NA,千葉,NA,40366,40183,183,51774,51506,268,482,443,2019-02-01
NA,東京,NA,224684,223687,997,278157,276659,1498,1958,2307,2019-02-01
NA,神奈川,NA,26931,26799,132,34902,34722,180,321,294,2019-02-01
NA,新潟,NA,7091,7057,34,8922,8866,56,82,95,2019-02-01
NA,富山,NA,1449,1408,41,1665,1612,53,15,17,2019-02-01
NA,石川,NA,2590,2563,27,3008,2970,38,19,35,2019-02-01
NA,福井,NA,3381,3325,56,4118,4049,69,37,29,2019-02-01
NA,山梨,NA,5723,5653,70,7010,6927,83,62,62,2019-02-01
NA,長野,NA,6309,6255,54,7731,7648,83,85,63,2019-02-01
NA,岐阜,NA,4369,4314,55,5324,5262,62,45,51,2019-02-01
NA,静岡,NA,12089,12000,89,14795,14677,118,146,134,2019-02-01
NA,愛知,NA,17700,17555,145,22680,22461,219,194,232,2019-02-01
NA,三重,NA,12535,12435,100,15873,15732,141,125,149,2019-02-01
NA,滋賀,NA,5121,5083,38,7087,7023,64,70,50,2019-02-01
NA,京都,NA,10164,10091,73,14259,14132,127,88,86,2019-02-01
NA,大阪,NA,50563,50367,196,67677,67413,264,442,509,2019-02-01
NA,兵庫,NA,13863,13748,115,18205,18044,161,141,136,2019-02-01
NA,奈良,NA,9421,9368,53,12588,12509,79,57,80,2019-02-01
NA,和歌山,NA,4872,4828,44,5914,5858,56,36,44,2019-02-01
NA,鳥取,NA,3300,3289,11,4063,4044,19,32,43,2019-02-01
NA,島根,NA,2401,2398,3,2985,2980,5,28,20,2019-02-01
NA,岡山,NA,3742,3713,29,4668,4631,37,49,50,2019-02-01
NA,広島,NA,5729,5696,33,7528,7485,43,59,62,2019-02-01
NA,山口,NA,8637,8580,57,10686,10620,66,81,95,2019-02-01
NA,徳島,NA,10520,10483,37,13348,13299,49,75,84,2019-02-01
NA,香川,NA,3344,3315,29,4246,4205,41,28,42,2019-02-01
NA,愛媛,NA,7567,7496,71,9263,9172,91,72,78,2019-02-01
NA,高知,NA,5822,5775,47,7180,7120,60,54,59,2019-02-01
NA,福岡,NA,37791,37623,168,51767,51490,277,240,329,2019-02-01
NA,佐賀,NA,6474,6436,38,7833,7792,41,84,74,2019-02-01
NA,長崎,NA,8013,7971,42,10374,10316,58,57,67,2019-02-01
NA,熊本,NA,7448,7414,34,9431,9392,39,90,78,2019-02-01
NA,大分,NA,8991,8903,88,11083,10977,106,66,83,2019-02-01
NA,宮崎,NA,7360,7335,25,9101,9061,40,76,92,2019-02-01
NA,鹿児島,NA,11871,11739,132,15273,15109,164,102,136,2019-02-01
NA,沖縄,NA,19145,19059,86,24712,24579,133,193,162,2019-02-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-01
NA,札幌市,NA,55128,55039,89,72414,72305,109,580,549,2019-02-01
NA,仙台市,NA,13805,13729,76,18217,18108,109,205,176,2019-02-01
NA,さいたま市,NA,15308,15244,64,19752,19662,90,139,160,2019-02-01
NA,千葉市,NA,16808,16608,200,20860,20576,284,237,252,2019-02-01
NA,横浜市,NA,53879,53761,118,69634,69462,172,593,578,2019-02-01
NA,川崎市,NA,23918,23865,53,30735,30655,80,282,325,2019-02-01
NA,相模原市,NA,10267,10235,32,13995,13946,49,92,101,2019-02-01
NA,新潟市,NA,9250,9216,34,12007,11965,42,97,102,2019-02-01
NA,静岡市,NA,7234,7171,63,9219,9135,84,81,70,2019-02-01
NA,浜松市,NA,5657,5577,80,7171,7078,93,78,73,2019-02-01
NA,名古屋市,NA,38203,38022,181,47635,47412,223,479,519,2019-02-01
NA,京都市,NA,32544,32135,409,43584,43009,575,278,341,2019-02-01
NA,大阪市,NA,113630,112984,646,138329,137535,794,1118,1296,2019-02-01
NA,堺市,NA,19237,19203,34,25437,25392,45,181,188,2019-02-01
NA,神戸市,NA,34309,34141,168,45700,45466,234,309,347,2019-02-01
NA,岡山市,NA,9974,9934,40,13212,13161,51,103,112,2019-02-01
NA,広島市,NA,18595,18520,75,24665,24579,86,174,197,2019-02-01
NA,北九州市,NA,18330,18259,71,23035,22957,78,165,152,2019-02-01
NA,福岡市,NA,33593,33457,136,43235,43041,194,340,374,2019-02-01
NA,熊本市,NA,11967,11923,44,15344,15291,53,149,160,2019-02-01
中核市　（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-01
NA,旭川市,NA,9929,9910,19,12595,12575,20,63,66,2019-02-01
NA,函館市,NA,9357,9347,10,11816,11806,10,67,68,2019-02-01
NA,青森市,NA,6742,6734,8,8458,8450,8,47,44,2019-02-01
NA,八戸市,NA,3571,3563,8,4433,4420,13,16,32,2019-02-01
NA,盛岡市,NA,3804,3792,12,4733,4718,15,35,31,2019-02-01
NA,秋田市,NA,4341,4333,8,5407,5399,8,25,27,2019-02-01
NA,郡山市,NA,2681,2678,3,3320,3317,3,34,24,2019-02-01
NA,いわき市,NA,3322,3312,10,4300,4289,11,44,43,2019-02-01
NA,福島市,NA,2441,2438,3,3024,3021,3,34,29,2019-02-01
NA,宇都宮市,NA,6665,6622,43,8417,8353,64,56,65,2019-02-01
NA,前橋市,NA,3332,3279,53,4022,3957,65,41,36,2019-02-01
NA,高崎市,NA,2938,2917,21,3528,3500,28,35,35,2019-02-01
NA,川越市,NA,3368,3362,6,4389,4382,7,25,29,2019-02-01
NA,越谷市,NA,3178,3159,19,4240,4217,23,29,36,2019-02-01
NA,川口市,NA,8931,8908,23,11557,11529,28,74,74,2019-02-01
NA,船橋市,NA,7051,7014,37,9037,8984,53,67,55,2019-02-01
NA,柏市,NA,3596,3593,3,4646,4641,5,52,11,2019-02-01
NA,八王子市,NA,7403,7394,9,9476,9464,12,45,68,2019-02-01
NA,横須賀市,NA,4040,4010,30,5181,5140,41,33,39,2019-02-01
NA,富山市,NA,1720,1717,3,1975,1972,3,18,10,2019-02-01
NA,金沢市,NA,3575,3551,24,4202,4171,31,19,29,2019-02-01
NA,長野市,NA,2638,2619,19,3348,3326,22,27,26,2019-02-01
NA,岐阜市,NA,5249,5197,52,6417,6345,72,41,48,2019-02-01
NA,豊橋市,NA,1697,1681,16,2018,1998,20,8,21,2019-02-01
NA,豊田市,NA,1721,1714,7,2328,2314,14,15,11,2019-02-01
NA,岡崎市,NA,1575,1562,13,1998,1983,15,15,11,2019-02-01
NA,大津市,NA,3067,3049,18,4044,4024,20,32,44,2019-02-01
NA,高槻市,NA,4243,4234,9,5959,5948,11,31,25,2019-02-01
NA,東大阪市,NA,14303,14240,63,18902,18788,114,109,138,2019-02-01
NA,豊中市,NA,7577,7544,33,10003,9945,58,27,62,2019-02-01
