...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1637745,1629087,8658,2098973,2086977,11996,17690,16511,2018-07-01
NA,北海道,NA,48815,48709,106,63685,63548,137,430,444,2018-07-01
NA,青森,NA,13649,13632,17,16678,16657,21,98,131,2018-07-01
NA,岩手,NA,6701,6662,39,8491,8439,52,65,85,2018-07-01
NA,宮城,NA,8191,8145,46,10787,10709,78,100,81,2018-07-01
NA,秋田,NA,7110,7080,30,9109,9068,41,85,78,2018-07-01
NA,山形,NA,6385,6320,65,7794,7710,84,85,69,2018-07-01
NA,福島,NA,5448,5392,56,6690,6627,63,68,72,2018-07-01
NA,茨城,NA,22123,21993,130,27856,27679,177,290,236,2018-07-01
NA,栃木,NA,9887,9816,71,12220,12114,106,104,112,2018-07-01
NA,群馬,NA,6277,6234,43,7599,7535,64,78,81,2018-07-01
NA,埼玉,NA,43637,43478,159,57004,56777,227,502,405,2018-07-01
NA,千葉,NA,39937,39752,185,51400,51146,254,498,384,2018-07-01
NA,東京,NA,225265,224223,1042,279497,277980,1517,2434,2235,2018-07-01
NA,神奈川,NA,26742,26617,125,34792,34623,169,367,293,2018-07-01
NA,新潟,NA,7111,7048,63,8962,8873,89,73,89,2018-07-01
NA,富山,NA,1445,1416,29,1666,1628,38,19,19,2018-07-01
NA,石川,NA,2590,2567,23,3014,2988,26,28,29,2018-07-01
NA,福井,NA,3377,3317,60,4109,4042,67,34,39,2018-07-01
NA,山梨,NA,5694,5596,98,7032,6900,132,67,58,2018-07-01
NA,長野,NA,6339,6273,66,7742,7648,94,72,59,2018-07-01
NA,岐阜,NA,4347,4297,50,5294,5238,56,57,41,2018-07-01
NA,静岡,NA,11989,11891,98,14716,14586,130,155,127,2018-07-01
NA,愛知,NA,17765,17614,151,22898,22669,229,217,205,2018-07-01
NA,三重,NA,12645,12552,93,16068,15942,126,150,147,2018-07-01
NA,滋賀,NA,5138,5100,38,7154,7079,75,74,50,2018-07-01
NA,京都,NA,10219,10146,73,14385,14265,120,95,103,2018-07-01
NA,大阪,NA,50814,50600,214,68424,68125,299,575,520,2018-07-01
NA,兵庫,NA,13850,13734,116,18281,18101,180,156,150,2018-07-01
NA,奈良,NA,9537,9477,60,12780,12685,95,68,93,2018-07-01
NA,和歌山,NA,4913,4874,39,5967,5923,44,57,44,2018-07-01
NA,鳥取,NA,3300,3288,12,4087,4066,21,50,34,2018-07-01
NA,島根,NA,2448,2436,12,3046,3033,13,24,39,2018-07-01
NA,岡山,NA,3809,3778,31,4767,4718,49,41,46,2018-07-01
