...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
全国,全国,1637143,1629774,7369,2047778,2038230,9548,16518,15940,2021-02-01
都道府県,北海道,47242,47171,71,59884,59799,85,364,362,2021-02-01
都道府県,青森県,13530,13514,16,16328,16312,16,110,121,2021-02-01
都道府県,岩手県,6608,6582,26,8166,8130,36,66,76,2021-02-01
都道府県,宮城県,8660,8620,40,11149,11101,48,111,81,2021-02-01
都道府県,秋田県,6654,6634,20,8302,8278,24,54,90,2021-02-01
都道府県,山形県,4780,4754,26,5712,5680,32,62,51,2021-02-01
都道府県,福島県,5417,5390,27,6572,6544,28,76,62,2021-02-01
都道府県,茨城県,18895,18789,106,23114,22973,141,209,177,2021-02-01
都道府県,栃木県,9800,9735,65,11816,11741,75,110,104,2021-02-01
都道府県,群馬県,6227,6192,35,7332,7290,42,69,60,2021-02-01
都道府県,埼玉県,45150,45013,137,57224,57063,161,560,478,2021-02-01
都道府県,千葉県,42008,41835,173,52902,52684,218,570,414,2021-02-01
都道府県,東京都,223927,223098,829,272444,271291,1153,2044,2136,2021-02-01
都道府県,神奈川県,27865,27737,128,35383,35208,175,284,302,2021-02-01
都道府県,新潟県,7090,7038,52,8809,8744,65,92,81,2021-02-01
都道府県,富山県,1411,1379,32,1590,1553,37,19,11,2021-02-01
都道府県,石川県,2584,2559,25,2980,2950,30,28,26,2021-02-01
都道府県,福井県,1377,1359,18,1595,1575,20,12,13,2021-02-01
都道府県,山梨県,3414,3363,51,4208,4147,61,44,27,2021-02-01
都道府県,長野県,6398,6361,37,7727,7684,43,101,72,2021-02-01
都道府県,岐阜県,4513,4461,52,5500,5440,60,61,44,2021-02-01
都道府県,静岡県,12674,12560,114,15336,15191,145,174,141,2021-02-01
都道府県,愛知県,17965,17815,150,22554,22376,178,238,226,2021-02-01
都道府県,三重県,12635,12552,83,15692,15578,114,173,134,2021-02-01
都道府県,滋賀県,5217,5189,28,7021,6986,35,61,61,2021-02-01
都道府県,京都府,9976,9906,70,13547,13430,117,106,101,2021-02-01
都道府県,大阪府,40501,40375,126,52528,52361,167,399,394,2021-02-01
都道府県,兵庫県,13979,13909,70,17969,17874,95,170,121,2021-02-01
都道府県,奈良県,8942,8897,45,11587,11533,54,72,88,2021-02-01
都道府県,和歌山県,4790,4759,31,5722,5679,43,51,53,2021-02-01
都道府県,鳥取県,3154,3146,8,3833,3821,12,32,38,2021-02-01
都道府県,島根県,2365,2362,3,2867,2864,3,27,27,2021-02-01
都道府県,岡山県,3445,3428,17,4161,4143,18,33,43,2021-02-01
都道府県,広島県,5632,5594,38,7226,7183,43,65,51,2021-02-01
都道府県,山口県,8300,8249,51,10070,10009,61,87,87,2021-02-01
都道府県,徳島県,10326,10291,35,12807,12762,45,68,81,2021-02-01
都道府県,香川県,3213,3183,30,3983,3943,40,39,37,2021-02-01
都道府県,愛媛県,7437,7340,97,8901,8763,138,68,71,2021-02-01
都道府県,高知県,5618,5556,62,6845,6768,77,65,72,2021-02-01
都道府県,福岡県,37135,36986,149,49791,49580,211,285,309,2021-02-01
都道府県,佐賀県,6469,6434,35,7676,7638,38,64,68,2021-02-01
都道府県,長崎県,7712,7670,42,9761,9706,55,62,85,2021-02-01
都道府県,熊本県,7434,7387,47,9258,9195,63,97,100,2021-02-01
都道府県,大分県,8871,8779,92,10710,10595,115,65,73,2021-02-01
都道府県,宮崎県,7336,7314,22,8968,8939,29,65,75,2021-02-01
都道府県,鹿児島県,11641,11459,182,14774,14542,232,108,126,2021-02-01
都道府県,沖縄県,20083,19982,101,25322,25181,141,264,189,2021-02-01
