local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1640186,1632186,8000,17201,15681,2021-07-01,2038416,2028038,10378
北海道,46953,46863,90,357,443,2021-07-01,58973,58868,105
青森県,13464,13445,19,113,128,2021-07-01,16147,16125,22
岩手県,6558,6524,34,80,75,2021-07-01,8055,8012,43
宮城県,8798,8744,54,126,94,2021-07-01,11270,11202,68
秋田県,6580,6562,18,66,86,2021-07-01,8150,8127,23
山形県,4835,4797,38,58,41,2021-07-01,5751,5703,48
福島県,5395,5371,24,69,48,2021-07-01,6510,6482,28
茨城県,19152,19048,104,254,205,2021-07-01,23295,23173,122
栃木県,9795,9733,62,87,100,2021-07-01,11735,11656,79
群馬県,6258,6222,36,86,54,2021-07-01,7318,7277,41
埼玉県,45457,45309,148,509,456,2021-07-01,57230,57036,194
千葉県,42446,42246,200,530,418,2021-07-01,53139,52883,256
東京都,223941,223009,932,2158,1953,2021-07-01,270985,269636,1349
神奈川県,28140,28022,118,364,276,2021-07-01,35553,35406,147
新潟県,7133,7100,33,102,71,2021-07-01,8846,8803,43
富山県,1420,1380,40,19,32,2021-07-01,1606,1560,46
石川県,2614,2587,27,34,29,2021-07-01,2989,2960,29
福井県,1411,1385,26,15,25,2021-07-01,1619,1589,30
山梨県,3462,3403,59,35,36,2021-07-01,4236,4161,75
長野県,4870,4824,46,65,85,2021-07-01,5881,5829,52
岐阜県,4577,4527,50,65,50,2021-07-01,5536,5476,60
静岡県,12883,12779,104,179,138,2021-07-01,15576,15436,140
愛知県,15260,15168,92,185,181,2021-07-01,19062,18944,118
三重県,12733,12641,92,173,129,2021-07-01,15777,15647,130
滋賀県,5254,5211,43,75,50,2021-07-01,7006,6942,64
京都府,9909,9844,65,91,124,2021-07-01,13298,13201,97
大阪府,40440,40329,111,423,373,2021-07-01,51972,51817,155
兵庫県,14023,13924,99,121,140,2021-07-01,17947,17806,141
奈良県,8838,8801,37,63,66,2021-07-01,11368,11311,57
和歌山県,4793,4769,24,51,48,2021-07-01,5690,5662,28
鳥取県,3144,3136,8,48,30,2021-07-01,3789,3777,12
島根県,2350,2343,7,36,34,2021-07-01,2839,2832,7
岡山県,3435,3415,20,47,43,2021-07-01,4114,4093,21
広島県,5681,5639,42,78,62,2021-07-01,7265,7210,55
山口県,8277,8231,46,93,58,2021-07-01,10000,9951,49
徳島県,10344,10295,49,90,71,2021-07-01,12748,12678,70
香川県,3234,3198,36,42,39,2021-07-01,3985,3938,47
愛媛県,7408,7311,97,66,77,2021-07-01,8796,8667,129
高知県,5592,5550,42,64,55,2021-07-01,6779,6720,59
福岡県,37038,36895,143,287,278,2021-07-01,49303,49079,224
佐賀県,6415,6367,48,60,58,2021-07-01,7563,7510,53
長崎県,7655,7596,59,71,85,2021-07-01,9660,9584,76
熊本県,7418,7364,54,82,93,2021-07-01,9184,9108,76
大分県,8812,8707,105,84,80,2021-07-01,10605,10480,125
宮崎県,7286,7256,30,76,76,2021-07-01,8814,8769,45
鹿児島県,11597,11436,161,127,119,2021-07-01,14598,14379,219
沖縄県,20321,20230,91,259,161,2021-07-01,25395,25277,118
札幌市,56070,55812,258,584,625,2021-07-01,71285,70988,297
仙台市,14451,14361,90,179,139,2021-07-01,18518,18394,124
さいたま市,15514,15455,59,187,155,2021-07-01,19469,19400,69
千葉市,17640,17492,148,306,252,2021-07-01,21427,21237,190
横浜市,55002,54902,100,685,671,2021-07-01,68903,68776,127
川崎市,23655,23620,35,270,266,2021-07-01,29389,29345,44
相模原市,10797,10752,45,124,102,2021-07-01,13956,13905,51
新潟市,9289,9256,33,77,72,2021-07-01,11713,11667,46
静岡市,7591,7527,64,65,63,2021-07-01,9418,9345,73
浜松市,5770,5713,57,69,52,2021-07-01,7167,7098,69
名古屋市,38605,38356,249,510,501,2021-07-01,47147,46848,299
京都市,32076,31685,391,308,295,2021-07-01,41517,41003,514
大阪市,111965,111401,564,1224,1169,2021-07-01,133122,132423,699
堺市,19288,19260,28,225,180,2021-07-01,24701,24661,40
神戸市,33697,33514,183,285,288,2021-07-01,43478,43262,216
岡山市,9859,9822,37,109,105,2021-07-01,12719,12675,44
広島市,18415,18340,75,197,170,2021-07-01,23556,23462,94
北九州市,18137,18063,74,152,129,2021-07-01,22307,22231,76
福岡市,33784,33655,129,384,353,2021-07-01,42429,42264,165
熊本市,12003,11977,26,144,139,2021-07-01,14923,14896,27
旭川市,9839,9788,51,82,97,2021-07-01,12027,11964,63
函館市,9333,9314,19,83,85,2021-07-01,11369,11346,23
青森市,6731,6728,3,45,51,2021-07-01,8216,8211,5
八戸市,3386,3369,17,16,24,2021-07-01,4131,4112,19
盛岡市,3867,3838,29,43,26,2021-07-01,4602,4561,41
秋田市,4311,4310,1,41,33,2021-07-01,5295,5294,1
山形市,1789,1775,14,22,20,2021-07-01,2147,2132,15
郡山市,2770,2765,5,34,28,2021-07-01,3327,3322,5
いわき市,3376,3373,3,47,49,2021-07-01,4276,4273,3
福島市,2604,2600,4,33,30,2021-07-01,3137,3133,4
水戸市,4106,4069,37,40,40,2021-07-01,5180,5121,59
宇都宮市,6669,6643,26,54,46,2021-07-01,8212,8178,34
前橋市,3413,3380,33,44,25,2021-07-01,4100,4055,45
高崎市,2937,2918,19,40,39,2021-07-01,3445,3426,19
川越市,3480,3475,5,28,28,2021-07-01,4395,4388,7
越谷市,3435,3411,24,41,23,2021-07-01,4389,4353,36
川口市,9207,9181,26,96,63,2021-07-01,11649,11617,32
船橋市,7328,7290,38,72,76,2021-07-01,9162,9114,48
柏市,3899,3891,8,50,41,2021-07-01,4899,4891,8
八王子市,7644,7635,9,89,46,2021-07-01,9518,9509,9
横須賀市,4222,4195,27,47,44,2021-07-01,5358,5327,31
富山市,2073,2071,2,38,17,2021-07-01,2406,2404,2
金沢市,3528,3502,26,25,24,2021-07-01,4043,4016,27
福井市,2092,2079,13,21,25,2021-07-01,2585,2562,23
甲府市,2377,2359,18,17,29,2021-07-01,2830,2805,25
長野市,2657,2620,37,31,24,2021-07-01,3259,3206,53
松本市,1566,1555,11,17,19,2021-07-01,1842,1829,13
岐阜市,5090,5059,31,21,33,2021-07-01,6039,6001,38
豊橋市,1804,1795,9,35,15,2021-07-01,2187,2178,9
豊田市,1810,1795,15,33,10,2021-07-01,2395,2374,21
岡崎市,1778,1748,30,30,22,2021-07-01,2219,2179,40
一宮市,2752,2727,25,40,25,2021-07-01,3427,3398,29
大津市,3083,3062,21,39,17,2021-07-01,3902,3872,30
高槻市,4301,4293,8,28,25,2021-07-01,5737,5729,8
東大阪市,13707,13660,47,121,103,2021-07-01,17316,17249,67
豊中市,7548,7517,31,50,59,2021-07-01,9577,9539,38
枚方市,5788,5756,32,56,46,2021-07-01,7534,7486,48
八尾市,6033,6030,3,72,50,2021-07-01,7787,7782,5
寝屋川市,5600,5572,28,75,36,2021-07-01,7221,7181,40
吹田市,4371,4369,2,39,33,2021-07-01,5621,5617,4
姫路市,6611,6593,18,53,43,2021-07-01,8112,8087,25
西宮市,5985,5928,57,43,40,2021-07-01,7775,7681,94
尼崎市,13575,13567,8,112,111,2021-07-01,17238,17228,10
明石市,3878,3865,13,33,35,2021-07-01,5043,5024,19
奈良市,5451,5411,40,36,28,2021-07-01,7120,7062,58
和歌山市,7437,7416,21,60,55,2021-07-01,8863,8834,29
鳥取市,2150,2124,26,16,12,2021-07-01,2778,2746,32
松江市,2084,2070,14,11,21,2021-07-01,2648,2624,24
倉敷市,5304,5296,8,53,47,2021-07-01,6969,6961,8
福山市,4750,4742,8,42,35,2021-07-01,6043,6035,8
呉市,2719,2699,20,18,27,2021-07-01,3370,3345,25
下関市,3112,3094,18,25,24,2021-07-01,3790,3770,20
高松市,5034,4985,49,52,39,2021-07-01,6236,6176,60
松山市,9448,9437,11,63,65,2021-07-01,11287,11274,13
高知市,8729,8665,64,47,73,2021-07-01,10892,10815,77
久留米市,5269,5254,15,64,32,2021-07-01,6590,6569,21
長崎市,9299,9244,55,51,51,2021-07-01,11952,11885,67
佐世保市,3972,3957,15,43,28,2021-07-01,4970,4953,17
大分市,6985,6917,68,44,60,2021-07-01,8337,8258,79
宮崎市,6837,6820,17,51,60,2021-07-01,8424,8404,20
鹿児島市,11788,11645,143,84,92,2021-07-01,14862,14677,185
那覇市,10458,10441,17,118,78,2021-07-01,13255,13234,21
