"id","date","koguchi_apply","koguchi_number","koguchi_payment_amount","sogo_apply","sogo_number","sogo_payment_amount","jukyo_apply","jukyo_number","jukyo_payment_amount","year","month","koguchi_number_19Jan","sogo_number_19Jan","jukyo_number_19Jan","koguchi_number_base19Jan","sogo_number_base19Jan","jukyo_number_base19Jan","prefec_kanji","prefec"
1,"2019-01-01",NA,22,2216,NA,1,300,11,9,1291,2019,1,22,1,9,1,1,1,"北海道","Hokkaido"
1,"2019-02-01",NA,15,1650,NA,0,0,13,13,1198,2019,2,22,1,9,0.6818181818181818,0,1.4444444444444444,"北海道","Hokkaido"
1,"2019-03-01",NA,32,3131,NA,0,0,6,7,1041,2019,3,22,1,9,1.4545454545454546,0,0.7777777777777778,"北海道","Hokkaido"
1,"2019-04-01",NA,11,1000,NA,1,483,NA,NA,NA,2019,4,22,1,9,0.5,1,NA,"北海道","Hokkaido"
1,"2019-05-01",NA,12,943,NA,0,0,NA,NA,NA,2019,5,22,1,9,0.5454545454545454,0,NA,"北海道","Hokkaido"
1,"2019-06-01",NA,9,840,NA,0,0,NA,NA,NA,2019,6,22,1,9,0.4090909090909091,0,NA,"北海道","Hokkaido"
1,"2019-07-01",NA,20,1598,NA,0,0,NA,NA,NA,2019,7,22,1,9,0.9090909090909091,0,NA,"北海道","Hokkaido"
1,"2019-08-01",NA,11,1056,NA,0,0,NA,NA,NA,2019,8,22,1,9,0.5,0,NA,"北海道","Hokkaido"
1,"2019-09-01",NA,19,1562,NA,0,0,NA,NA,NA,2019,9,22,1,9,0.8636363636363636,0,NA,"北海道","Hokkaido"
1,"2019-10-01",NA,10,808,NA,0,0,NA,NA,NA,2019,10,22,1,9,0.45454545454545453,0,NA,"北海道","Hokkaido"
1,"2019-11-01",NA,10,806,NA,0,0,NA,NA,NA,2019,11,22,1,9,0.45454545454545453,0,NA,"北海道","Hokkaido"
1,"2019-12-01",NA,9,890,NA,1,348,NA,NA,NA,2019,12,22,1,9,0.4090909090909091,1,NA,"北海道","Hokkaido"
1,"2020-01-01",NA,8,574,NA,1,396,NA,NA,NA,2020,1,22,1,9,0.36363636363636365,1,NA,"北海道","Hokkaido"
1,"2020-04-01",11224,9281,1630660,215,4,1365,279,111,2178.3,2020,4,22,1,9,421.8636363636364,4,12.333333333333334,"北海道","Hokkaido"
1,"2020-05-01",7475,8473,1538910,2244,973,493611,900,718,20351.11,2020,5,22,1,9,385.1363636363636,973,79.77777777777777,"北海道","Hokkaido"
1,"2020-06-01",4386,4581,828030,2027,2281,1149431,452,530,44614.29,2020,6,22,1,9,208.22727272727272,2281,58.888888888888886,"北海道","Hokkaido"
1,"2020-07-01",3723,3763,688476,3046,2826,1888528,196,366,52609.79,2020,7,22,1,9,171.04545454545453,2826,40.666666666666664,"北海道","Hokkaido"
1,"2020-08-01",2041,2289,426956,1312,2049,1429192,145,176,41730.34,2020,8,22,1,9,104.04545454545455,2049,19.555555555555557,"北海道","Hokkaido"
1,"2020-09-01",1680,1651,310040,1494,1856,1470714,146,122,46669.543,2020,9,22,1,9,75.04545454545455,1856,13.555555555555555,"北海道","Hokkaido"
1,"2020-10-01",1653,1797,335790,1689,1298,1191640,127,129,54261,2020,10,22,1,9,81.68181818181819,1298,14.333333333333334,"北海道","Hokkaido"
1,"2020-11-01",1018,1038,195300,716,912,812999,145,130,32300.563,2020,11,22,1,9,47.18181818181818,912,14.444444444444445,"北海道","Hokkaido"
1,"2020-12-01",1618,1605,302600,1436,1368,1070469,155,128,53660.084,2020,12,22,1,9,72.95454545454545,1368,14.222222222222221,"北海道","Hokkaido"
1,"2021-01-01",1496,1412,265780,1423,1149,981324,90,91,29020.95,2021,1,22,1,9,64.18181818181819,1149,10.11111111111111,"北海道","Hokkaido"
1,"2021-02-01",2264,2048,388770,2960,1385,1087049,144,127,36690.7,2021,2,22,1,9,93.0909090909091,1385,14.11111111111111,"北海道","Hokkaido"
1,"2021-03-01",3318,3105,592220,7769,7429,4299876,166,166,45578.97,2021,3,22,1,9,141.13636363636363,7429,18.444444444444443,"北海道","Hokkaido"
1,"2021-04-01",2825,3316,635700,6206,7290,4223739,103,105,45871.28,2021,4,22,1,9,150.72727272727272,7290,11.666666666666666,"北海道","Hokkaido"
1,"2021-05-01",1900,1651,313210,2548,2297,1825871,238,115,29196.066,2021,5,22,1,9,75.04545454545455,2297,12.777777777777779,"北海道","Hokkaido"
2,"2019-01-01",NA,2,153,NA,0,0,0,0,171,2019,1,2,0,0,1,NA,NA,"青森","Aomori"
2,"2019-02-01",NA,2,110,NA,1,82,2,2,198,2019,2,2,0,0,1,Inf,Inf,"青森","Aomori"
2,"2019-03-01",NA,5,388,NA,1,93,3,3,232,2019,3,2,0,0,2.5,Inf,Inf,"青森","Aomori"
2,"2019-04-01",NA,3,280,NA,1,167,NA,NA,NA,2019,4,2,0,0,1.5,Inf,NA,"青森","Aomori"
2,"2019-05-01",NA,4,380,NA,0,0,NA,NA,NA,2019,5,2,0,0,2,NA,NA,"青森","Aomori"
