"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
337884,140770,197114,38077176978,18055164486,20022012492,99,"2017-04-01",2017,"全国","zenkoku"
17088,6651,10437,1750123812,794359351,955764461,1,"2017-04-01",2017,"北海道","Hokkaido"
4639,2012,2627,466488324,232515350,233972974,2,"2017-04-01",2017,"青森","Aomori"
3698,1606,2092,360312126,185820926,174491200,3,"2017-04-01",2017,"岩手","Iwate"
6535,2612,3923,726259618,339549770,386709848,4,"2017-04-01",2017,"宮城","Miyagi"
3130,1388,1742,298742969,152569336,146173633,5,"2017-04-01",2017,"秋田","Akita"
2865,1248,1617,288602214,141892251,146709963,6,"2017-04-01",2017,"山形","Yamagata"
5540,2688,2852,611070420,334160754,276909666,7,"2017-04-01",2017,"福島","Fukushima"
6466,2866,3600,737907345,375103890,362803455,8,"2017-04-01",2017,"茨城","Ibaraki"
5083,2300,2783,572550689,294210990,278339699,9,"2017-04-01",2017,"栃木","Tochigi"
4415,1921,2494,490250836,240847172,249403664,10,"2017-04-01",2017,"群馬","Gunma"
16529,7518,9011,1931833831,983420114,948413717,11,"2017-04-01",2017,"埼玉","Saitama"
13571,6043,7528,1719247569,858473057,860774512,12,"2017-04-01",2017,"千葉","Chiba"
31850,13457,18393,4115160641,1893829030,2221331611,13,"2017-04-01",2017,"東京","Tokyo"
21415,9669,11746,2814336100,1418575662,1395760438,14,"2017-04-01",2017,"神奈川","Kanagawa"
6061,2479,3582,644938489,304689255,340249234,15,"2017-04-01",2017,"新潟","Niigata"
2471,955,1516,256723586,111353897,145369689,16,"2017-04-01",2017,"富山","Toyama"
3088,1127,1961,328578985,133877048,194701937,17,"2017-04-01",2017,"石川","Ishikawa"
1877,736,1141,201187469,90229312,110958157,18,"2017-04-01",2017,"福井","Fukui"
1966,816,1150,216366246,102307898,114058348,19,"2017-04-01",2017,"山梨","Yamanashi"
5518,2327,3191,567616001,271432909,296183092,20,"2017-04-01",2017,"長野","Nagano"
4528,1874,2654,466381058,222524650,243856408,21,"2017-04-01",2017,"岐阜","Gifu"
9538,4142,5396,1027945868,504512509,523433359,22,"2017-04-01",2017,"静岡","Shizuoka"
17581,7215,10366,2078016242,962305239,1115711003,23,"2017-04-01",2017,"愛知","Aichi"
5357,2162,3195,571594764,268865549,302729215,24,"2017-04-01",2017,"三重","Mie"
4157,1670,2487,438095844,201763954,236331890,25,"2017-04-01",2017,"滋賀","Shiga"
6912,2759,4153,799495165,365771758,433723407,26,"2017-04-01",2017,"京都","Kyoto"
24956,10251,14705,2971791013,1384187810,1587603203,27,"2017-04-01",2017,"大阪","Osaka"
15636,6453,9183,1735226077,820622992,914603085,28,"2017-04-01",2017,"兵庫","Hyogo"
3371,1456,1915,383761625,188524508,195237117,29,"2017-04-01",2017,"奈良","Nara"
2837,1166,1671,288069291,136072536,151996755,30,"2017-04-01",2017,"和歌山","Wakayama"
1698,737,961,160592595,79389596,81202999,31,"2017-04-01",2017,"鳥取","Tottori"
1960,830,1130,177136478,84631495,92504983,32,"2017-04-01",2017,"島根","Shimane"
5473,2196,3277,577444057,263414566,314029491,33,"2017-04-01",2017,"岡山","Okayama"
7965,3076,4889,854742104,379357199,475384905,34,"2017-04-01",2017,"広島","Hiroshima"
3409,1275,2134,374377728,163813825,210563903,35,"2017-04-01",2017,"山口","Yamaguchi"
2094,935,1159,219927311,110327602,109599709,36,"2017-04-01",2017,"徳島","Tokushima"
2687,1077,1610,274803849,126282929,148520920,37,"2017-04-01",2017,"香川","Kagawa"
3586,1490,2096,376740319,180990716,195749603,38,"2017-04-01",2017,"愛媛","Ehime"
2601,1023,1578,249249017,113424195,135824822,39,"2017-04-01",2017,"高知","Kochi"
16679,6400,10279,1867903988,825500457,1042403531,40,"2017-04-01",2017,"福岡","Fukuoka"
2475,926,1549,245410416,107298172,138112244,41,"2017-04-01",2017,"佐賀","Saga"
4546,1678,2868,434032469,188998034,245034435,42,"2017-04-01",2017,"長崎","Nagasaki"
6749,2620,4129,660447560,298841915,361605645,43,"2017-04-01",2017,"熊本","Kumamoto"
4011,1589,2422,392329809,183414724,208915085,44,"2017-04-01",2017,"大分","Oita"
3540,1433,2107,344327761,162571557,181756204,45,"2017-04-01",2017,"宮崎","Miyazaki"
5633,2159,3474,560625411,257194417,303430994,46,"2017-04-01",2017,"鹿児島","Kagoshima"
4100,1759,2341,448411889,215343610,233068279,47,"2017-04-01",2017,"沖縄","Okinawa"
392176,157306,234870,45868783207,21286926726,24581856481,99,"2017-05-01",2017,"全国","zenkoku"
21015,7526,13489,2306047117,978767192,1327279925,1,"2017-05-01",2017,"北海道","Hokkaido"
5586,2272,3314,608195156,287009205,321185951,2,"2017-05-01",2017,"青森","Aomori"
4414,1786,2628,459872008,219036276,240835732,3,"2017-05-01",2017,"岩手","Iwate"
