date,year,month,yoy_households_receive_elderly,yoy_households_receive_singlemother,yoy_households_receive_disabled,yoy_households_receive_sick,yoy_households_receive_others
2019-02-01T00:00:00Z,2019,2,17186,-5587,3951,-11350,-6829
2019-03-01T00:00:00Z,2019,3,15714,-5490,3830,-11000,-6233
2019-04-01T00:00:00Z,2019,4,16204,-5488,4050,-9725,-5767
2019-05-01T00:00:00Z,2019,5,15736,-5470,3532,-9912,-6368
2019-06-01T00:00:00Z,2019,6,15708,-5301,3515,-9566,-6048
2019-07-01T00:00:00Z,2019,7,16302,-5222,3430,-8820,-5775
2019-08-01T00:00:00Z,2019,8,15278,-5417,3172,-8926,-5726
2019-09-01T00:00:00Z,2019,9,16115,-5349,3359,-8884,-5424
2019-10-01T00:00:00Z,2019,10,15260,-5509,3305,-8704,-5751
2019-11-01T00:00:00Z,2019,11,14744,-5762,3337,-8672,-5910
2019-12-01T00:00:00Z,2019,12,14434,-5772,3188,-8398,-5010
2020-01-01T00:00:00Z,2020,1,13897,-5833,3248,-8420,-4574
2020-02-01T00:00:00Z,2020,2,12929,-5904,3203,-8014,-4636
2020-03-01T00:00:00Z,2020,3,12468,-5743,3469,-6968,-4201
2020-04-01T00:00:00Z,2020,4,11027,-5298,3639,-6652,-2301
2020-05-01T00:00:00Z,2020,5,9700,-5369,3560,-6033,-514
2020-06-01T00:00:00Z,2020,6,9592,-5456,3518,-6059,1144
2020-07-01T00:00:00Z,2020,7,7603,-5686,3285,-5994,966
2020-08-01T00:00:00Z,2020,8,6433,-5627,3385,-5916,1221
2020-09-01T00:00:00Z,2020,9,6557,-5535,3372,-5592,2005
2020-10-01T00:00:00Z,2020,10,5636,-5484,3140,-5636,2376
2020-11-01T00:00:00Z,2020,11,5246,-5408,3164,-5611,2876
2020-12-01T00:00:00Z,2020,12,6062,-5328,3207,-5792,3596
2021-01-01T00:00:00Z,2021,1,5775,-5192,3267,-4853,4108
2021-02-01T00:00:00Z,2021,2,5758,-5098,3346,-4731,5478
2021-03-01T00:00:00Z,2021,3,5140,-4945,3754,-3774,6521
2021-04-01T00:00:00Z,2021,4,4669,-4946,3543,-4307,5275
2021-05-01T00:00:00Z,2021,5,4724,-4988,3463,-4989,4054
2021-06-01T00:00:00Z,2021,6,4772,-4818,3649,-4714,3781
2021-07-01T00:00:00Z,2021,7,5038,-4762,4022,-5288,3916
2021-08-01T00:00:00Z,2021,8,5904,-4513,4134,-4505,3899
2021-09-01T00:00:00Z,2021,9,5641,-4370,4269,-4004,3973
2021-10-01T00:00:00Z,2021,10,4774,-4338,4371,-4056,4011
2021-11-01T00:00:00Z,2021,11,5696,-4230,4578,-4040,4955
2021-12-01T00:00:00Z,2021,12,4891,-4212,4853,-3586,4422
2022-01-01T00:00:00Z,2022,1,4847,-4271,4887,-3820,3599
2022-02-01T00:00:00Z,2022,2,4902,-4294,4809,-4014,2688
2022-03-01T00:00:00Z,2022,3,2289,-4252,4873,-4135,2214
2022-04-01T00:00:00Z,2022,4,234,-4187,4595,-3919,1769
2018-01-01T00:00:00Z,2018,1,NA,NA,NA,NA,NA
2018-02-01T00:00:00Z,2018,2,NA,NA,NA,NA,NA
2018-03-01T00:00:00Z,2018,3,NA,NA,NA,NA,NA
2018-04-01T00:00:00Z,2018,4,NA,NA,NA,NA,NA
2018-05-01T00:00:00Z,2018,5,NA,NA,NA,NA,NA
2018-06-01T00:00:00Z,2018,6,NA,NA,NA,NA,NA
2018-07-01T00:00:00Z,2018,7,NA,NA,NA,NA,NA
2018-08-01T00:00:00Z,2018,8,NA,NA,NA,NA,NA
2018-09-01T00:00:00Z,2018,9,NA,NA,NA,NA,NA
2018-10-01T00:00:00Z,2018,10,NA,NA,NA,NA,NA
2018-11-01T00:00:00Z,2018,11,NA,NA,NA,NA,NA
2018-12-01T00:00:00Z,2018,12,NA,NA,NA,NA,NA
2019-01-01T00:00:00Z,2019,1,17650,-5708,3985,-11169,-6956
