都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,361910,156279,205631,46382547280,22769470001,23613077279,2020-03-01
北　海　道,17294,6857,10437,2079774177,948410078,1131364099,2020-03-01
青　　　森,4608,1995,2613,507535617,255198594,252337023,2020-03-01
岩　　　手,3819,1614,2205,426409209,205717110,220692099,2020-03-01
宮　　　城,7269,3181,4088,904047526,459975595,444071931,2020-03-01
秋　　　田,2969,1271,1698,343508901,169782705,173726196,2020-03-01
山　　　形,3500,1504,1996,423569860,203837614,219732246,2020-03-01
福　　　島,6306,2842,3464,793737108,405646523,388090585,2020-03-01
茨　　　城,7477,3428,4049,965083924,502956004,462127920,2020-03-01
栃　　　木,5632,2578,3054,692138061,363470893,328667168,2020-03-01
群　　　馬,5686,2843,2843,725677877,406140971,319536906,2020-03-01
埼　　　玉,20637,9894,10743,2713411226,1467339958,1246071268,2020-03-01
千　　　葉,15990,7417,8573,2241703873,1181695449,1060008424,2020-03-01
東　　　京,36344,16225,20119,5280931989,2591645148,2689286841,2020-03-01
神　奈　川,23850,11250,12600,3421113539,1818612400,1602501139,2020-03-01
新　　　潟,6050,2491,3559,729424435,341863719,387560716,2020-03-01
富　　　山,2588,1092,1496,320879454,154228957,166650497,2020-03-01
石　　　川,3251,1394,1857,406275261,197928268,208346993,2020-03-01
福　　　井,2015,791,1224,235889464,108551847,127337617,2020-03-01
山　　　梨,2269,1002,1267,274020815,137130087,136890728,2020-03-01
長　　　野,6860,2954,3906,812622999,397189177,415433822,2020-03-01
岐　　　阜,4849,2084,2765,593387684,288370660,305017024,2020-03-01
静　　　岡,10194,4553,5641,1295565642,646690330,648875312,2020-03-01
愛　　　知,19798,8519,11279,2566621326,1237335501,1329285825,2020-03-01
三　　　重,5685,2497,3188,682477892,340002298,342475594,2020-03-01
滋　　　賀,4175,1811,2364,520240353,255643799,264596554,2020-03-01
京　　　都,7248,2907,4341,937763680,433560069,504203611,2020-03-01
大　　　阪,25994,10833,15161,3356446734,1584632974,1771813760,2020-03-01
兵　　　庫,15686,6569,9117,2034528060,968445518,1066082542,2020-03-01
奈　　　良,3407,1523,1884,441407492,229040000,212367492,2020-03-01
和　歌　山,2775,1179,1596,322172573,159698722,162473851,2020-03-01
鳥　　　取,1636,716,920,187572851,91882063,95690788,2020-03-01
島　　　根,1987,840,1147,229383334,110532509,118850825,2020-03-01
岡　　　山,4489,1891,2598,536326186,264114707,272211479,2020-03-01
広　　　島,7456,3003,4453,916039804,426204313,489835491,2020-03-01
山　　　口,3674,1419,2255,457726906,203827346,253899560,2020-03-01
徳　　　島,1902,818,1084,233555039,111735676,121819363,2020-03-01
香　　　川,2728,1103,1625,330896601,156286800,174609801,2020-03-01
愛　　　媛,3611,1390,2221,441585493,198360906,243224587,2020-03-01
高　　　知,2374,992,1382,282558976,129167431,153391545,2020-03-01
福　　　岡,17642,7010,10632,2214697995,1001239048,1213458947,2020-03-01
佐　　　賀,2482,931,1551,291340980,128786912,162554068,2020-03-01
長　　　崎,4689,1770,2919,524669916,231108443,293561473,2020-03-01
熊　　　本,5762,2377,3385,665227388,313765103,351462285,2020-03-01
大　　　分,3947,1563,2384,452131273,209064871,243066402,2020-03-01
宮　　　崎,3726,1501,2225,436712649,204432943,232279706,2020-03-01
鹿　児　島,5445,2097,3348,624442789,283947743,340495046,2020-03-01
沖　　　縄,4135,1760,2375,509312349,244272219,265040130,2020-03-01
