prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,year
愛知,365990,39580,79975,112453,134146,2016
愛媛,112422,8449,24110,39083,26911,2016
茨城,135029,9661,25247,40976,40253,2016
岡山,111039,15702,29670,29591,43750,2016
沖縄,165628,16653,61124,45456,40032,2016
岩手,63700,5410,17807,16966,21244,2016
岐阜,67280,3987,11787,19439,12216,2016
宮崎,90969,7524,19537,25377,28677,2016
宮城,117325,16495,33035,32795,50709,2016
京都,250198,49869,58262,67458,88519,2016
熊本,121818,11271,35987,32315,38547,2016
群馬,80874,5330,16761,20704,21414,2016
広島,185169,29274,66462,51760,65057,2016
香川,49878,5394,10038,16411,16987,2016
高知,101057,9253,21378,22471,29284,2016
佐賀,42025,2377,9688,14642,8067,2016
埼玉,428031,53529,94374,128656,165305,2016
三重,83000,8599,20367,23825,18438,2016
山形,37628,2326,9137,12544,11837,2016
山口,83676,6233,15392,21962,22884,2016
山梨,37211,2233,7888,8381,10262,2016
滋賀,45083,8111,12398,17911,15111,2016
鹿児島,142789,15152,36920,39964,51312,2016
秋田,77558,5269,14207,17752,24757,2016
新潟,88498,9490,27563,20886,45231,2016
神奈川,699256,100465,172836,179062,261494,2016
青森,163932,9311,35707,37932,40286,2016
静岡,150527,14691,33673,39529,51160,2016
石川,43953,1997,11741,10237,8478,2016
千葉,394217,41068,87127,115976,132444,2016
全国,10044351,1186608,2299582,2855342,3155699,2016
大阪,1441171,189849,347448,333908,361833,2016
大分,109502,6857,22055,22987,30564,2016
長崎,127035,16015,28504,46021,45601,2016
長野,54351,4082,17758,15897,15307,2016
鳥取,31438,3630,9261,10394,12636,2016
島根,25913,3027,8488,7115,11194,2016
東京,1429693,138935,273132,455017,473952,2016
徳島,70279,5728,11760,28689,12836,2016
栃木,98591,9341,24847,34712,31718,2016
奈良,92982,14165,18950,30585,22090,2016
富山,21778,731,4607,4703,4836,2016
福井,22501,1162,3930,5509,6403,2016
福岡,595802,71590,111177,173410,199027,2016
福島,82064,5993,22129,23279,25675,2016
兵庫,474375,68975,104668,151878,144881,2016
北海道,738302,125987,178006,226338,214881,2016
和歌山,92814,5838,12664,22386,17453,2016
