...1,...2,...3,被保護世帯数,...5,...6,被保護実人員,...8,...9,保護開始,保護廃止,year_month
全国,NA,NA,1638599,1629762,8837,2098594,2086302,12292,17278,17833,2018-08-01
NA,北海道,NA,48733,48636,97,63513,63384,129,363,468,2018-08-01
NA,青森,NA,13615,13594,21,16631,16607,24,97,131,2018-08-01
NA,岩手,NA,6691,6652,39,8476,8418,58,75,74,2018-08-01
NA,宮城,NA,8214,8169,45,10799,10730,69,105,85,2018-08-01
NA,秋田,NA,7100,7073,27,9082,9051,31,67,79,2018-08-01
NA,山形,NA,6387,6317,70,7792,7698,94,71,94,2018-08-01
NA,福島,NA,5448,5395,53,6681,6615,66,72,74,2018-08-01
NA,茨城,NA,22154,22019,135,27860,27687,173,267,220,2018-08-01
NA,栃木,NA,9866,9794,72,12183,12080,103,91,114,2018-08-01
NA,群馬,NA,6264,6223,41,7571,7511,60,68,77,2018-08-01
NA,埼玉,NA,43734,43578,156,57081,56866,215,502,437,2018-08-01
NA,千葉,NA,40040,39844,196,51464,51199,265,486,388,2018-08-01
NA,東京,NA,225376,224293,1083,279428,277867,1561,2346,2444,2018-08-01
NA,神奈川,NA,26780,26654,126,34799,34634,165,331,305,2018-08-01
NA,新潟,NA,7101,7034,67,8928,8836,92,79,83,2018-08-01
NA,富山,NA,1444,1408,36,1658,1612,46,18,12,2018-08-01
NA,石川,NA,2584,2563,21,3007,2982,25,23,18,2018-08-01
NA,福井,NA,3387,3328,59,4113,4046,67,49,53,2018-08-01
NA,山梨,NA,5697,5601,96,7018,6893,125,61,67,2018-08-01
NA,長野,NA,6364,6301,63,7768,7690,78,84,90,2018-08-01
NA,岐阜,NA,4373,4323,50,5325,5265,60,60,53,2018-08-01
NA,静岡,NA,12021,11924,97,14759,14628,131,159,139,2018-08-01
NA,愛知,NA,17791,17639,152,22912,22669,243,231,263,2018-08-01
NA,三重,NA,12630,12541,89,16050,15925,125,132,169,2018-08-01
NA,滋賀,NA,5165,5118,47,7181,7099,82,77,64,2018-08-01
NA,京都,NA,10209,10133,76,14351,14222,129,93,112,2018-08-01
NA,大阪,NA,50811,50592,219,68335,68013,322,516,541,2018-08-01
NA,兵庫,NA,13860,13748,112,18275,18097,178,160,158,2018-08-01
NA,奈良,NA,9520,9455,65,12749,12642,107,76,75,2018-08-01
NA,和歌山,NA,4928,4884,44,5992,5934,58,59,56,2018-08-01
NA,鳥取,NA,3314,3304,10,4100,4080,20,48,32,2018-08-01
NA,島根,NA,2441,2427,14,3048,3032,16,32,36,2018-08-01
NA,岡山,NA,3813,3781,32,4775,4724,51,50,51,2018-08-01
NA,広島,NA,5807,5763,44,7638,7567,71,69,64,2018-08-01
NA,山口,NA,8708,8666,42,10783,10719,64,82,106,2018-08-01
NA,徳島,NA,10580,10543,37,13472,13427,45,81,87,2018-08-01
NA,香川,NA,3418,3387,31,4339,4295,44,37,39,2018-08-01
NA,愛媛,NA,7650,7585,65,9368,9274,94,91,94,2018-08-01
NA,高知,NA,5814,5771,43,7214,7160,54,63,51,2018-08-01
NA,福岡,NA,38129,37978,151,52305,52055,250,313,302,2018-08-01
NA,佐賀,NA,6462,6416,46,7841,7781,60,68,90,2018-08-01
NA,長崎,NA,8068,8022,46,10501,10436,65,85,71,2018-08-01
NA,熊本,NA,7405,7370,35,9333,9287,46,91,71,2018-08-01
NA,大分,NA,9064,8983,81,11199,11078,121,67,76,2018-08-01
NA,宮崎,NA,7349,7309,40,9138,9090,48,85,68,2018-08-01
NA,鹿児島,NA,12001,11857,144,15467,15266,201,139,150,2018-08-01
NA,沖縄,NA,18956,18867,89,24493,24358,135,222,168,2018-08-01
指定都市（別掲）,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-01
NA,札幌市,NA,54930,54739,191,72412,72174,238,620,631,2018-08-01
NA,仙台市,NA,13636,13554,82,18012,17898,114,168,153,2018-08-01
NA,さいたま市,NA,15346,15260,86,19859,19739,120,179,185,2018-08-01
NA,千葉市,NA,16785,16576,209,20930,20604,326,286,273,2018-08-01
NA,横浜市,NA,53967,53833,134,69991,69792,199,677,674,2018-08-01
NA,川崎市,NA,24092,24041,51,31047,30964,83,340,361,2018-08-01
NA,相模原市,NA,10162,10133,29,13900,13856,44,97,117,2018-08-01
NA,新潟市,NA,9154,9106,48,11912,11856,56,86,93,2018-08-01
NA,静岡市,NA,7192,7109,83,9184,9066,118,77,72,2018-08-01
NA,浜松市,NA,5681,5612,69,7221,7136,85,87,74,2018-08-01
NA,名古屋市,NA,38401,38217,184,47947,47710,237,587,526,2018-08-01
NA,京都市,NA,32697,32318,379,43890,43357,533,327,344,2018-08-01
NA,大阪市,NA,114461,113724,737,139605,138698,907,1234,1381,2018-08-01
NA,堺市,NA,19315,19269,46,25584,25523,61,205,232,2018-08-01
NA,神戸市,NA,34505,34313,192,46000,45727,273,352,395,2018-08-01
NA,岡山市,NA,9999,9955,44,13286,13230,56,107,93,2018-08-01
NA,広島市,NA,18759,18672,87,24937,24824,113,179,232,2018-08-01
