...1,...2,被保護世帯数...3,被保護世帯数...4,被保護世帯数...5,被保護実人員...6,被保護実人員...7,被保護実人員...8,保護開始世帯数,保護廃止世帯数,year_month
全国,全国,1638184,1630899,7285,2049630,2040156,9474,16072,17557,2021-01-01
都道府県,北海道,47309,47243,66,59929,59851,78,351,431,2021-01-01
都道府県,青森県,13555,13537,18,16346,16328,18,113,135,2021-01-01
都道府県,岩手県,6627,6601,26,8183,8149,34,63,85,2021-01-01
都道府県,宮城県,8654,8611,43,11152,11101,51,110,105,2021-01-01
都道府県,秋田県,6671,6647,24,8343,8317,26,46,71,2021-01-01
都道府県,山形県,4782,4756,26,5721,5690,31,49,64,2021-01-01
都道府県,福島県,5412,5382,30,6566,6536,30,70,71,2021-01-01
都道府県,茨城県,18900,18800,100,23112,22986,126,226,214,2021-01-01
都道府県,栃木県,9798,9737,61,11808,11736,72,106,108,2021-01-01
都道府県,群馬県,6234,6203,31,7338,7300,38,65,76,2021-01-01
都道府県,埼玉県,45120,44987,133,57193,57036,157,509,530,2021-01-01
都道府県,千葉県,41865,41685,180,52739,52513,226,466,427,2021-01-01
都道府県,東京都,224148,223335,813,272822,271711,1111,2239,2265,2021-01-01
都道府県,神奈川県,27920,27803,117,35427,35265,162,326,340,2021-01-01
都道府県,新潟県,7076,7027,49,8797,8730,67,66,78,2021-01-01
都道府県,富山県,1407,1377,30,1588,1552,36,15,15,2021-01-01
都道府県,石川県,2579,2555,24,2973,2946,27,22,23,2021-01-01
都道府県,福井県,1381,1360,21,1598,1575,23,18,16,2021-01-01
都道府県,山梨県,3412,3364,48,4200,4143,57,43,42,2021-01-01
都道府県,長野県,6392,6359,33,7710,7675,35,79,95,2021-01-01
都道府県,岐阜県,4516,4462,54,5504,5441,63,56,63,2021-01-01
都道府県,静岡県,12647,12522,125,15320,15150,170,156,147,2021-01-01
都道府県,愛知県,17957,17803,154,22554,22359,195,241,230,2021-01-01
都道府県,三重県,12640,12572,68,15686,15599,87,130,178,2021-01-01
都道府県,滋賀県,5219,5193,26,7023,6989,34,70,63,2021-01-01
都道府県,京都府,9986,9918,68,13600,13496,104,111,116,2021-01-01
都道府県,大阪府,40545,40404,141,52644,52458,186,374,443,2021-01-01
都道府県,兵庫県,13934,13869,65,17922,17833,89,142,125,2021-01-01
都道府県,奈良県,8965,8922,43,11609,11556,53,51,95,2021-01-01
都道府県,和歌山県,4803,4767,36,5755,5705,50,42,64,2021-01-01
都道府県,鳥取県,3162,3158,4,3845,3841,4,30,40,2021-01-01
都道府県,島根県,2365,2359,6,2865,2859,6,31,27,2021-01-01
都道府県,岡山県,3461,3443,18,4180,4157,23,30,49,2021-01-01
都道府県,広島県,5624,5591,33,7207,7163,44,60,57,2021-01-01
都道府県,山口県,8298,8247,51,10073,10013,60,62,85,2021-01-01
都道府県,徳島県,10376,10336,40,12875,12819,56,62,118,2021-01-01
都道府県,香川県,3212,3187,25,3994,3962,32,35,38,2021-01-01
都道府県,愛媛県,7448,7368,80,8922,8812,110,62,79,2021-01-01
都道府県,高知県,5624,5571,53,6840,6774,66,48,71,2021-01-01
都道府県,福岡県,37187,37059,128,49846,49648,198,265,337,2021-01-01
都道府県,佐賀県,6490,6460,30,7704,7669,35,51,85,2021-01-01
都道府県,長崎県,7737,7695,42,9813,9761,52,70,87,2021-01-01
都道府県,熊本県,7444,7399,45,9272,9208,64,74,107,2021-01-01
都道府県,大分県,8898,8812,86,10758,10650,108,53,92,2021-01-01
都道府県,宮崎県,7362,7338,24,9000,8967,33,77,91,2021-01-01
都道府県,鹿児島県,11643,11480,163,14779,14570,209,91,110,2021-01-01
都道府県,沖縄県,20031,19937,94,25249,25113,136,191,211,2021-01-01
指定都市（別掲）,札幌市,55916,55789,127,71628,71476,152,610,617,2021-01-01
指定都市（別掲）,仙台市,14226,14128,98,18351,18212,139,146,138,2021-01-01
指定都市（別掲）,さいたま市,15503,15453,50,19579,19510,69,150,174,2021-01-01
指定都市（別掲）,千葉市,17377,17221,156,21210,21009,201,276,277,2021-01-01
指定都市（別掲）,横浜市,54690,54602,88,68994,68886,108,675,675,2021-01-01
指定都市（別掲）,川崎市,23836,23803,33,29877,29834,43,281,309,2021-01-01
指定都市（別掲）,相模原市,10674,10642,32,13897,13849,48,133,99,2021-01-01
指定都市（別掲）,新潟市,9265,9234,31,11809,11774,35,78,86,2021-01-01
指定都市（別掲）,静岡市,7551,7478,73,9416,9332,84,91,92,2021-01-01
指定都市（別掲）,浜松市,5728,5668,60,7156,7082,74,83,78,2021-01-01
指定都市（別掲）,名古屋市,38534,38294,240,47317,47022,295,471,532,2021-01-01
