local_government,households_total,households_receive,households_suspend,households_start,households_end,year_month,persons_total,persons_receive,persons_suspend
全国,1638591,1631104,7487,15607,16132,2021-05-01,2040011,2030479,9532
北海道,47172,47093,79,355,472,2021-05-01,59373,59282,91
青森県,13497,13476,21,92,118,2021-05-01,16210,16183,27
岩手県,6589,6558,31,65,87,2021-05-01,8119,8079,40
宮城県,8757,8706,51,108,105,2021-05-01,11235,11169,66
秋田県,6606,6589,17,42,80,2021-05-01,8216,8195,21
山形県,4810,4779,31,58,45,2021-05-01,5733,5689,44
福島県,5415,5395,20,67,77,2021-05-01,6557,6536,21
茨城県,19018,18911,107,198,184,2021-05-01,23207,23082,125
栃木県,9794,9731,63,82,92,2021-05-01,11764,11689,75
群馬県,6237,6202,35,58,60,2021-05-01,7296,7259,37
埼玉県,45303,45174,129,455,405,2021-05-01,57152,56986,166
千葉県,42207,42028,179,428,411,2021-05-01,52969,52742,227
東京都,223914,223091,823,2000,2057,2021-05-01,271271,270156,1115
神奈川県,28040,27915,125,322,316,2021-05-01,35452,35288,164
新潟県,7116,7088,28,82,74,2021-05-01,8848,8816,32
富山県,1411,1373,38,22,18,2021-05-01,1591,1548,43
石川県,2582,2559,23,24,18,2021-05-01,2957,2931,26
福井県,1408,1384,24,28,13,2021-05-01,1619,1590,29
山梨県,3450,3399,51,28,43,2021-05-01,4241,4177,64
長野県,4861,4829,32,63,54,2021-05-01,5892,5852,40
岐阜県,4545,4485,60,53,45,2021-05-01,5534,5468,66
静岡県,12798,12706,92,153,137,2021-05-01,15451,15331,120
愛知県,15278,15171,107,178,201,2021-05-01,19109,18976,133
三重県,12701,12621,80,158,125,2021-05-01,15768,15656,112
滋賀県,5226,5184,42,58,43,2021-05-01,6985,6923,62
京都府,9951,9893,58,81,98,2021-05-01,13410,13313,97
大阪府,40417,40297,120,364,402,2021-05-01,52136,51970,166
兵庫県,14014,13923,91,121,147,2021-05-01,17916,17797,119
奈良県,8869,8831,38,55,84,2021-05-01,11435,11384,51
和歌山県,4773,4749,24,43,39,2021-05-01,5691,5661,30
鳥取県,3137,3131,6,36,41,2021-05-01,3796,3790,6
島根県,2347,2341,6,23,40,2021-05-01,2827,2821,6
岡山県,3458,3435,23,40,53,2021-05-01,4147,4123,24
広島県,5662,5624,38,70,59,2021-05-01,7261,7211,50
山口県,8272,8223,49,67,81,2021-05-01,10012,9956,56
徳島県,10317,10277,40,80,72,2021-05-01,12739,12688,51
香川県,3226,3194,32,39,37,2021-05-01,3975,3937,38
愛媛県,7421,7333,88,70,76,2021-05-01,8841,8723,118
高知県,5576,5523,53,40,50,2021-05-01,6763,6691,72
福岡県,37064,36918,146,272,312,2021-05-01,49378,49159,219
佐賀県,6458,6408,50,55,72,2021-05-01,7613,7558,55
長崎県,7673,7621,52,71,77,2021-05-01,9687,9616,71
熊本県,7434,7364,70,97,98,2021-05-01,9259,9160,99
大分県,8831,8735,96,64,81,2021-05-01,10650,10536,114
宮崎県,7300,7275,25,70,81,2021-05-01,8863,8833,30
鹿児島県,11573,11410,163,103,97,2021-05-01,14585,14361,224
沖縄県,20198,20098,100,213,177,2021-05-01,25300,25167,133
札幌市,56057,55836,221,605,570,2021-05-01,71349,71100,249
仙台市,14374,14289,85,168,135,2021-05-01,18464,18348,116
さいたま市,15482,15428,54,122,155,2021-05-01,19481,19409,72
千葉市,17481,17357,124,267,225,2021-05-01,21250,21088,162
横浜市,54870,54788,82,676,624,2021-05-01,68851,68741,110
川崎市,23707,23673,34,240,286,2021-05-01,29518,29476,42
相模原市,10748,10712,36,116,109,2021-05-01,13936,13893,43
新潟市,9305,9274,31,89,101,2021-05-01,11763,11721,42
静岡市,7581,7505,76,62,78,2021-05-01,9397,9310,87
浜松市,5747,5682,65,67,61,2021-05-01,7162,7079,83
名古屋市,38579,38346,233,491,496,2021-05-01,47158,46888,270
京都市,32033,31666,367,314,302,2021-05-01,41570,41095,475
大阪市,111997,111441,556,1119,1218,2021-05-01,133364,132694,670
堺市,19282,19255,27,190,234,2021-05-01,24760,24727,33
神戸市,33750,33593,157,268,305,2021-05-01,43627,43450,177
岡山市,9832,9802,30,109,109,2021-05-01,12740,12701,39
広島市,18431,18367,64,146,208,2021-05-01,23596,23509,87
北九州市,18144,18073,71,165,151,2021-05-01,22349,22277,72
福岡市,33656,33540,116,370,332,2021-05-01,42346,42194,152
熊本市,11977,11949,28,140,136,2021-05-01,14920,14889,31
旭川市,9875,9833,42,59,80,2021-05-01,12105,12052,53
函館市,9339,9322,17,53,79,2021-05-01,11417,11397,20
青森市,6726,6726,0,41,51,2021-05-01,8219,8219,0
八戸市,3415,3399,16,20,32,2021-05-01,4170,4151,19
盛岡市,3866,3858,8,38,31,2021-05-01,4632,4621,11
秋田市,4291,4290,1,26,30,2021-05-01,5283,5282,1
山形市,1780,1768,12,14,20,2021-05-01,2142,2130,12
郡山市,2785,2780,5,37,34,2021-05-01,3342,3337,5
いわき市,3377,3372,5,27,48,2021-05-01,4272,4267,5
福島市,2608,2603,5,26,34,2021-05-01,3144,3139,5
水戸市,4101,4057,44,34,42,2021-05-01,5173,5112,61
宇都宮市,6677,6653,24,43,54,2021-05-01,8240,8212,28
前橋市,3392,3357,35,36,35,2021-05-01,4091,4048,43
高崎市,2928,2911,17,34,36,2021-05-01,3449,3432,17
川越市,3485,3480,5,16,24,2021-05-01,4413,4405,8
越谷市,3396,3377,19,25,22,2021-05-01,4364,4338,26
川口市,9166,9147,19,85,74,2021-05-01,11612,11588,24
船橋市,7289,7259,30,81,51,2021-05-01,9123,9081,42
柏市,3844,3838,6,42,24,2021-05-01,4844,4838,6
八王子市,7580,7568,12,74,60,2021-05-01,9492,9480,12
横須賀市,4203,4178,25,39,39,2021-05-01,5333,5303,30
富山市,2041,2039,2,31,19,2021-05-01,2363,2361,2
金沢市,3546,3519,27,31,27,2021-05-01,4057,4026,31
福井市,2078,2068,10,27,18,2021-05-01,2576,2566,10
甲府市,2375,2359,16,16,16,2021-05-01,2831,2812,19
長野市,2649,2625,24,20,21,2021-05-01,3254,3218,36
松本市,1573,1558,15,15,26,2021-05-01,1861,1839,22
岐阜市,5103,5078,25,38,45,2021-05-01,6073,6041,32
豊橋市,1776,1769,7,40,21,2021-05-01,2143,2136,7
豊田市,1799,1781,18,22,20,2021-05-01,2380,2357,23
岡崎市,1765,1747,18,25,27,2021-05-01,2206,2187,19
一宮市,2736,2710,26,33,29,2021-05-01,3411,3381,30
大津市,3066,3053,13,33,25,2021-05-01,3887,3868,19
高槻市,4295,4286,9,26,31,2021-05-01,5742,5733,9
東大阪市,13733,13696,37,91,139,2021-05-01,17409,17360,49
豊中市,7562,7534,28,61,62,2021-05-01,9623,9592,31
枚方市,5759,5728,31,53,43,2021-05-01,7489,7447,42
八尾市,6011,6010,1,63,56,2021-05-01,7744,7741,3
寝屋川市,5566,5541,25,51,42,2021-05-01,7197,7159,38
吹田市,4363,4361,2,36,36,2021-05-01,5637,5634,3
姫路市,6636,6620,16,54,55,2021-05-01,8160,8140,20
