都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,396398,176017,220381,52373706442,25981157566,26392548876,2022-01-01
北　海　道,18970,7522,11448,2405656927,1081845987,1323810940,2022-01-01
青　　　森,4746,2024,2722,538967448,262117099,276850349,2022-01-01
岩　　　手,3750,1618,2132,424134604,206536754,217597850,2022-01-01
宮　　　城,7569,3241,4328,983977588,475404158,508573430,2022-01-01
秋　　　田,3082,1292,1790,363969459,171231791,192737668,2022-01-01
山　　　形,3003,1339,1664,348697507,171455570,177241937,2022-01-01
福　　　島,6042,2790,3252,777929289,397771415,380157874,2022-01-01
茨　　　城,7820,3745,4075,1033961983,557620328,476341655,2022-01-01
栃　　　木,5899,2890,3009,764460375,426138971,338321404,2022-01-01
群　　　馬,5371,2564,2807,662812630,349471455,313341175,2022-01-01
埼　　　玉,21943,10803,11140,2999921802,1624423321,1375498481,2022-01-01
千　　　葉,17591,8452,9139,2458318552,1295179489,1163139063,2022-01-01
東　　　京,41587,19015,22572,6607764753,3244026810,3363737943,2022-01-01
神　奈　川,25545,12354,13191,3744214289,1983391687,1760822602,2022-01-01
新　　　潟,6407,2780,3627,812611415,392384829,420226586,2022-01-01
富　　　山,2733,1200,1533,336174477,166972689,169201788,2022-01-01
石　　　川,3526,1446,2080,456170650,210647415,245523235,2022-01-01
福　　　井,2186,919,1267,252870647,118295237,134575410,2022-01-01
山　　　梨,2206,1005,1201,275255624,139295022,135960602,2022-01-01
長　　　野,6256,2752,3504,777173818,383291583,393882235,2022-01-01
岐　　　阜,5621,2492,3129,674553299,340313031,334240268,2022-01-01
静　　　岡,11018,4999,6019,1440415329,732762019,707653310,2022-01-01
愛　　　知,21797,9809,11988,3033652405,1525772873,1507879532,2022-01-01
三　　　重,5794,2642,3152,727365388,377248599,350116789,2022-01-01
滋　　　賀,4713,2052,2661,572691021,286546091,286144930,2022-01-01
京　　　都,8224,3518,4706,1075897025,512742638,563154387,2022-01-01
大　　　阪,29859,13078,16781,4002427196,1951354380,2051072816,2022-01-01
兵　　　庫,18292,7801,10491,2340475754,1126274468,1214201286,2022-01-01
奈　　　良,3859,1753,2106,496602653,254173886,242428767,2022-01-01
和　歌　山,2919,1290,1629,343534621,177271386,166263235,2022-01-01
鳥　　　取,1843,837,1006,209225240,102408633,106816607,2022-01-01
島　　　根,2014,851,1163,227520675,105931044,121589631,2022-01-01
岡　　　山,6274,2807,3467,737228727,368184149,369044578,2022-01-01
広　　　島,9235,3853,5382,1133098068,539927852,593170216,2022-01-01
山　　　口,3965,1632,2333,491844020,235146018,256698002,2022-01-01
徳　　　島,2211,1050,1161,277143348,148818802,128324546,2022-01-01
香　　　川,3060,1322,1738,373804086,184456552,189347534,2022-01-01
愛　　　媛,4243,1745,2498,497605800,232981978,264623822,2022-01-01
高　　　知,2384,1012,1372,291771012,137381145,154389867,2022-01-01
福　　　岡,19448,7962,11486,2455975797,1139819262,1316156535,2022-01-01
佐　　　賀,2911,1176,1735,346011003,159248426,186762577,2022-01-01
長　　　崎,4925,2035,2890,599795789,280417353,319378436,2022-01-01
熊　　　本,6141,2627,3514,715403738,347509460,367894278,2022-01-01
大　　　分,4573,1817,2756,522613255,238038032,284575223,2022-01-01
宮　　　崎,4014,1654,2360,464230125,218917847,245312278,2022-01-01
鹿　児　島,5912,2330,3582,714753438,323088078,391665360,2022-01-01
沖　　　縄,4917,2122,2795,583023793,276921954,306101839,2022-01-01
