prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,date
愛知,33070,2508,7498,8277,10195,2021-06-01
愛媛,10096,486,2003,2290,1882,2021-06-01
茨城,13363,655,2414,2868,3746,2021-06-01
岡山,9787,933,2555,1885,3378,2021-06-01
沖縄,17182,1194,5160,3731,3266,2021-06-01
岩手,5776,356,1611,1069,1562,2021-06-01
岐阜,6017,253,1111,1248,944,2021-06-01
宮崎,8442,499,1543,1795,1815,2021-06-01
宮城,11753,1173,3497,2314,4308,2021-06-01
京都,21944,2790,5205,4251,7361,2021-06-01
熊本,11193,723,3024,1388,3003,2021-06-01
群馬,7589,307,1630,1526,1420,2021-06-01
広島,16189,1637,5791,3339,4455,2021-06-01
香川,4356,366,848,1079,1512,2021-06-01
高知,8595,486,1589,1294,2271,2021-06-01
佐賀,3903,154,769,973,593,2021-06-01
埼玉,41552,3296,9706,9126,13043,2021-06-01
三重,7303,523,1734,1537,1536,2021-06-01
山形,3614,169,760,971,1041,2021-06-01
山口,6932,335,1225,1300,1527,2021-06-01
山梨,3525,149,679,533,885,2021-06-01
滋賀,4083,495,1225,1333,1122,2021-06-01
鹿児島,12946,1005,2986,2265,3873,2021-06-01
秋田,6665,271,1153,1109,1669,2021-06-01
新潟,8350,669,2208,1638,3475,2021-06-01
神奈川,64054,5928,16982,12756,21683,2021-06-01
青森,15066,487,2860,2136,3004,2021-06-01
静岡,14413,1055,3105,2916,4506,2021-06-01
石川,3742,119,1012,553,666,2021-06-01
千葉,37635,2920,8960,8413,12843,2021-06-01
全国,909879,71451,207801,194603,247935,2021-06-01
大阪,126956,10712,31682,22549,26231,2021-06-01
大分,9880,410,1893,1367,2086,2021-06-01
長崎,11609,905,2130,2853,3312,2021-06-01
長野,4802,284,1645,1030,1247,2021-06-01
鳥取,2790,204,685,726,858,2021-06-01
島根,2415,178,679,382,760,2021-06-01
東京,126357,8436,25905,31826,38064,2021-06-01
徳島,6165,344,928,1815,1049,2021-06-01
栃木,9067,511,2200,2158,2450,2021-06-01
奈良,8105,788,1798,1869,1669,2021-06-01
富山,2017,66,451,426,467,2021-06-01
福井,2062,88,329,423,552,2021-06-01
福岡,53597,4625,9615,10803,15240,2021-06-01
福島,7877,431,1870,1733,2201,2021-06-01
兵庫,42252,4170,9329,10526,11194,2021-06-01
北海道,66853,6990,14759,16735,16622,2021-06-01
和歌山,7940,368,1060,1469,1349,2021-06-01
