prefec_kanji,households_receive_elderly,households_receive_singlemother,households_receive_disabled,households_receive_sick,households_receive_others,year
愛知,390115,32510,85524,100890,118375,2019
愛媛,121120,6995,23017,32129,23384,2019
茨城,154517,9265,28619,38216,39485,2019
岡山,116382,13143,30497,24889,40728,2019
沖縄,194870,15317,62413,43505,37350,2019
岩手,68825,4646,19205,14316,19075,2019
岐阜,70848,3277,13197,15823,11159,2019
宮崎,98757,6824,19511,21325,24702,2019
宮城,134405,15228,38698,29557,49759,2019
京都,261393,39200,61110,56224,85820,2019
熊本,130332,9316,39568,19021,33458,2019
群馬,89750,4256,18910,18892,17417,2019
広島,193088,22848,67687,43618,53291,2019
香川,51090,4692,10086,14463,17146,2019
高知,104391,6673,19169,17666,28652,2019
佐賀,45809,2292,9873,12235,7528,2019
埼玉,480959,44870,107812,115405,152675,2019
三重,86188,6307,21354,19403,16220,2019
山形,42018,2310,9425,12081,11666,2019
山口,85543,4797,15175,16941,18432,2019
山梨,40682,1902,8029,7218,10093,2019
滋賀,47046,6860,13887,16369,13568,2019
鹿児島,151434,13169,36711,32216,45949,2019
秋田,81296,4097,14307,14381,21406,2019
新潟,98358,8568,27265,20052,41158,2019
神奈川,752642,80969,190095,155285,248051,2019
青森,177212,7157,35191,30265,37115,2019
静岡,166645,12994,35040,35915,49269,2019
石川,44204,1712,12016,7562,7408,2019
千葉,436794,37519,101635,104876,136436,2019
全国,10763336,972181,2429945,2453237,2913987,2019
大阪,1517288,147818,364119,274734,328508,2019
大分,117681,5781,23248,18792,26174,2019
長崎,139375,12330,26878,37401,40739,2019
長野,57074,3388,19143,13920,13682,2019
鳥取,33456,2772,8550,8862,11703,2019
島根,29017,2538,8177,5241,8753,2019
東京,1507237,116566,300518,401646,441673,2019
徳島,73500,4506,11012,24227,11461,2019
栃木,107577,7253,25148,27610,28874,2019
奈良,97254,11315,20965,24468,20736,2019
富山,23146,752,5079,4721,4779,2019
福井,24402,972,4394,4904,5972,2019
福岡,634431,61629,115203,133058,186501,2019
福島,92121,5608,22662,21584,25776,2019
兵庫,503346,56894,108356,134502,132654,2019
北海道,794757,97378,179417,207390,192738,2019
和歌山,94961,4968,12050,19439,16489,2019
